machineID,layer_height [mm],print_speed [mm/s],nozzle_temperature [°C],bed_temperature [°C],filament_diameter [mm],failure_type
104,0.49,37.3,190.36,57.56,1.7,3
105,0.44,94.4,192.3,64.18,1.72,3
106,0.32,98.9,177.11,68.88,1.67,1
107,0.14,90.25,230.35,66.94,1.85,3
108,0.3,62.67,206.27,61.87,1.64,2
109,0.47,50.83,201.51,56.66,1.8,5
110,0.42,64.07,188.09,49.04,1.71,5
111,0.29,97.7,195.68,56.01,1.81,1
112,0.28,82.69,202.24,56.36,1.71,3
113,0.19,48.93,202.45,65.72,1.72,0
114,0.17,34.44,194.8,58.61,1.81,4
115,0.13,68.18,201.92,60.74,1.79,1
116,0.46,82.65,202.21,58.61,1.74,3
117,0.36,96.48,194.62,62.05,1.7,1
118,0.16,95.06,192.23,57.77,1.74,0
119,0.27,78.44,200.79,55.71,1.83,3
120,0.12,41.0,203.69,64.44,1.69,3
121,0.18,57.52,212.91,55.22,1.73,5
122,0.39,54.92,211.24,63.02,1.65,0
123,0.36,80.6,209.02,60.36,1.75,1
124,0.29,75.54,187.55,59.29,1.76,2
125,0.21,82.38,210.53,59.66,1.73,0
126,0.36,65.7,196.57,66.4,1.75,5
127,0.48,73.38,193.09,62.24,1.7,0
128,0.27,80.05,182.43,56.39,1.74,3
129,0.13,32.35,210.07,61.0,1.82,5
130,0.12,58.52,200.61,58.05,1.77,0
131,0.13,48.47,198.01,66.95,1.83,0
132,0.48,53.43,199.14,60.95,1.65,5
133,0.32,33.42,190.62,61.79,1.74,0
134,0.43,55.84,186.77,67.12,1.73,2
135,0.17,90.18,216.8,68.31,1.75,0
136,0.2,47.8,196.64,62.72,1.75,1
137,0.38,39.43,199.38,59.95,1.62,1
138,0.46,74.68,195.82,59.81,1.66,5
139,0.24,56.1,206.37,59.25,1.76,2
140,0.13,40.66,204.97,55.82,1.82,4
141,0.45,86.91,199.3,53.78,1.68,3
142,0.22,91.39,207.75,55.58,1.81,1
143,0.4,94.5,203.5,52.69,1.68,4
144,0.16,38.12,203.24,50.49,1.74,5
145,0.38,86.31,193.77,60.46,1.74,5
146,0.44,34.17,188.42,66.35,1.72,2
147,0.39,65.76,216.46,55.32,1.8,1
148,0.24,60.95,193.76,48.31,1.78,1
149,0.39,30.29,197.48,54.57,1.7,5
150,0.16,46.14,191.96,66.36,1.69,5
151,0.23,38.97,196.71,55.56,1.77,0
152,0.27,98.78,202.26,48.29,1.79,2
153,0.45,90.47,197.15,61.6,1.69,1
154,0.16,72.28,196.09,58.84,1.81,2
155,0.45,75.48,200.67,52.24,1.82,1
156,0.42,84.49,191.1,60.9,1.76,0
157,0.49,92.61,194.5,53.85,1.71,1
158,0.25,95.89,200.39,57.5,1.77,0
159,0.18,96.97,196.4,63.74,1.85,4
160,0.2,48.34,180.91,60.01,1.87,2
161,0.43,96.8,203.09,67.8,1.8,2
162,0.49,71.83,203.67,57.51,1.77,5
163,0.38,84.12,190.1,60.7,1.72,3
164,0.29,75.76,207.41,56.51,1.78,0
165,0.21,82.85,188.09,60.6,1.74,1
166,0.43,92.97,209.64,66.76,1.82,1
167,0.45,62.89,194.56,62.98,1.77,0
168,0.14,97.13,219.64,60.67,1.79,2
169,0.19,30.06,192.92,58.05,1.78,1
170,0.43,60.82,196.73,58.84,1.75,3
171,0.44,43.54,202.77,69.27,1.72,0
172,0.23,90.24,200.45,57.03,1.71,5
173,0.21,45.87,211.48,60.22,1.66,0
174,0.27,42.89,198.12,62.8,1.72,1
175,0.32,46.85,174.1,65.91,1.75,4
176,0.14,54.13,189.98,60.85,1.82,1
177,0.43,86.47,204.66,59.67,1.71,2
178,0.31,89.47,194.53,54.0,1.7,4
179,0.41,49.49,181.93,56.49,1.73,1
180,0.19,54.7,200.61,63.27,1.73,0
181,0.49,87.08,195.62,63.15,1.72,0
182,0.4,97.64,203.2,56.34,1.73,3
183,0.24,47.72,197.68,62.58,1.65,2
184,0.48,95.12,203.5,63.73,1.75,5
185,0.38,95.28,192.96,54.99,1.75,2
186,0.44,38.87,210.07,58.07,1.7,3
187,0.12,87.94,205.46,62.78,1.79,3
188,0.12,67.2,202.42,64.34,1.81,0
189,0.4,32.03,202.94,55.23,1.79,0
190,0.22,72.16,197.3,59.1,1.76,2
191,0.31,70.9,209.77,61.24,1.79,3
192,0.16,61.81,202.9,46.99,1.8,0
193,0.49,71.68,225.77,63.48,1.69,5
194,0.3,61.64,196.02,58.78,1.79,3
195,0.43,60.9,202.93,61.07,1.76,0
196,0.13,75.34,191.64,69.85,1.67,4
197,0.29,41.01,213.12,50.04,1.85,4
198,0.12,77.92,182.56,51.98,1.84,1
199,0.45,64.65,180.08,49.64,1.73,0
200,0.28,38.77,191.65,57.77,1.78,2
201,0.13,48.44,211.24,63.77,1.75,4
202,0.13,54.9,191.42,64.61,1.75,0
203,0.32,52.0,184.78,52.33,1.83,3
204,0.13,91.74,205.37,62.32,1.83,1
205,0.17,79.7,206.67,53.52,1.75,5
206,0.27,33.15,212.2,73.47,1.77,0
207,0.3,57.55,190.9,53.77,1.7,4
208,0.33,86.35,217.63,56.16,1.75,1
209,0.35,94.19,209.19,52.13,1.66,3
210,0.25,97.09,189.51,64.04,1.7,2
211,0.35,45.5,203.77,64.98,1.81,4
212,0.16,32.85,206.63,53.52,1.82,2
213,0.21,41.64,204.02,67.93,1.69,5
214,0.42,68.49,205.19,57.73,1.72,5
215,0.16,97.51,195.36,56.98,1.75,3
216,0.19,57.34,188.4,55.63,1.67,1
217,0.2,44.86,201.88,50.8,1.79,2
218,0.29,94.05,188.94,60.74,1.71,5
219,0.1,68.56,206.79,58.95,1.7,2
220,0.11,85.66,189.29,61.7,1.78,3
221,0.28,91.84,201.46,61.8,1.84,5
222,0.17,39.56,197.98,67.27,1.71,2
223,0.37,33.43,207.86,62.23,1.73,5
224,0.42,37.6,197.06,69.5,1.88,4
225,0.33,37.57,191.73,70.23,1.73,1
226,0.38,45.03,203.69,63.06,1.8,2
227,0.26,70.18,202.49,63.25,1.78,4
228,0.12,53.87,213.14,66.54,1.78,1
229,0.28,93.23,210.38,61.78,1.73,5
230,0.25,74.0,181.67,58.13,1.77,5
231,0.34,70.02,206.7,61.21,1.78,4
232,0.15,54.3,204.77,57.9,1.73,5
233,0.19,84.39,183.69,58.34,1.8,0
234,0.43,34.75,198.22,48.81,1.77,5
235,0.21,64.34,191.63,67.71,1.73,3
236,0.26,95.32,210.26,48.39,1.75,1
237,0.47,77.12,210.22,64.17,1.87,0
238,0.21,57.71,199.73,56.38,1.9,1
239,0.16,94.85,187.55,60.32,1.69,2
240,0.38,86.95,202.66,56.3,1.79,2
241,0.33,51.14,187.59,53.46,1.71,0
242,0.34,84.31,216.22,51.31,1.74,1
243,0.12,65.75,198.1,63.23,1.77,2
244,0.27,44.67,204.64,66.09,1.78,5
245,0.1,38.7,195.32,62.21,1.63,4
246,0.2,96.0,206.51,49.2,1.73,3
247,0.38,84.38,209.56,58.48,1.74,1
248,0.12,38.8,194.26,72.26,1.74,2
249,0.22,65.64,209.38,54.34,1.72,5
250,0.5,43.16,202.73,55.76,1.79,1
251,0.49,95.44,208.0,54.64,1.74,3
252,0.29,78.05,178.62,65.84,1.69,3
253,0.39,69.03,194.02,46.93,1.77,0
254,0.35,51.49,211.43,62.24,1.78,1
255,0.29,94.6,203.12,62.18,1.76,3
256,0.44,36.64,194.23,64.02,1.72,2
257,0.17,77.78,203.02,61.31,1.81,2
258,0.43,84.3,213.34,53.57,1.76,1
259,0.12,97.27,189.86,64.39,1.82,3
260,0.45,69.11,213.07,70.33,1.74,4
261,0.37,76.61,191.71,58.7,1.73,1
262,0.28,67.25,211.95,63.76,1.72,2
263,0.37,56.36,189.65,60.24,1.77,5
264,0.28,32.0,207.84,60.45,1.81,3
265,0.41,44.87,189.27,59.07,1.73,3
266,0.15,95.36,190.1,58.76,1.79,2
267,0.3,95.84,206.81,67.12,1.72,2
268,0.45,49.4,202.45,72.12,1.72,2
269,0.47,60.37,198.07,51.96,1.74,1
270,0.19,50.47,210.37,54.15,1.75,1
271,0.2,81.45,208.94,50.4,1.79,3
272,0.46,59.23,193.73,51.32,1.69,0
273,0.24,93.47,188.83,54.32,1.65,1
274,0.12,95.68,202.47,59.07,1.72,3
275,0.39,77.99,194.75,61.81,1.74,1
276,0.27,62.28,196.16,57.65,1.77,5
277,0.39,96.43,187.92,60.93,1.7,1
278,0.29,81.25,206.18,59.66,1.83,0
279,0.3,62.27,215.38,56.95,1.8,3
280,0.27,79.14,190.32,55.72,1.66,5
281,0.22,69.36,198.16,50.51,1.79,1
282,0.46,64.91,199.97,57.29,1.64,4
283,0.37,64.12,205.03,60.55,1.74,4
284,0.42,62.16,206.58,63.47,1.74,4
285,0.46,57.73,193.05,57.47,1.75,0
286,0.2,59.45,200.43,58.18,1.74,1
287,0.47,58.15,186.07,55.84,1.79,3
288,0.45,45.44,178.27,64.46,1.75,5
289,0.3,67.93,206.53,50.22,1.72,0
290,0.33,74.88,189.25,56.41,1.82,0
291,0.15,39.48,205.06,63.28,1.72,3
292,0.4,32.43,189.04,55.2,1.8,4
293,0.17,49.84,196.82,53.51,1.76,5
294,0.31,99.2,188.88,65.6,1.71,3
295,0.15,66.31,194.07,57.2,1.7,0
296,0.13,31.76,201.67,67.63,1.77,1
297,0.34,94.01,200.5,63.69,1.79,5
298,0.3,92.91,197.74,59.87,1.77,2
299,0.37,78.94,187.77,61.79,1.76,5
300,0.42,50.7,216.59,53.79,1.65,0
301,0.49,80.52,188.45,54.97,1.8,4
302,0.13,61.57,213.74,50.9,1.75,0
303,0.35,94.74,201.88,54.3,1.72,5
304,0.33,90.83,213.87,53.05,1.75,3
305,0.36,41.39,205.1,64.61,1.78,1
306,0.32,58.67,197.23,62.43,1.73,1
307,0.32,77.21,202.8,62.11,1.73,4
308,0.45,52.58,204.93,61.84,1.76,2
309,0.28,83.83,201.43,57.55,1.72,5
310,0.31,78.01,203.15,62.31,1.75,2
311,0.38,65.18,202.45,62.82,1.76,3
312,0.14,88.77,214.93,64.09,1.78,2
313,0.27,74.87,215.29,58.01,1.79,0
314,0.14,83.43,199.33,55.65,1.83,1
315,0.16,49.75,195.2,61.54,1.75,0
316,0.1,92.28,207.38,65.6,1.85,0
317,0.18,46.27,213.11,55.0,1.8,4
318,0.19,66.76,185.49,66.01,1.83,5
319,0.31,80.01,194.01,62.7,1.77,0
320,0.33,98.56,195.66,53.08,1.72,3
321,0.43,98.27,183.8,53.83,1.72,5
322,0.29,93.44,202.58,66.53,1.73,4
323,0.46,92.65,204.07,58.4,1.79,0
324,0.26,54.48,198.63,55.77,1.77,2
325,0.4,36.09,204.75,62.12,1.82,1
326,0.32,64.87,198.03,59.46,1.74,4
327,0.35,73.72,216.67,56.67,1.82,4
328,0.21,62.53,188.04,61.67,1.64,5
329,0.48,79.56,198.11,61.23,1.76,3
330,0.41,81.67,203.04,63.07,1.77,0
331,0.16,89.3,215.59,58.01,1.73,4
332,0.31,45.33,199.5,60.03,1.76,4
333,0.5,93.11,208.44,61.73,1.72,5
334,0.12,30.69,186.15,64.19,1.75,3
335,0.22,43.11,208.85,57.95,1.81,0
336,0.4,42.2,197.99,57.05,1.77,0
337,0.12,49.56,193.6,61.17,1.79,5
338,0.4,60.78,185.36,59.41,1.71,1
339,0.33,93.61,196.94,62.32,1.77,1
340,0.39,34.16,215.98,59.24,1.85,1
341,0.32,53.07,198.18,58.56,1.82,5
342,0.48,74.35,204.16,60.93,1.88,5
343,0.24,70.64,202.0,62.99,1.79,0
344,0.33,80.73,196.73,52.12,1.75,1
345,0.12,42.31,215.27,56.62,1.71,0
346,0.32,33.51,208.83,63.24,1.72,2
347,0.27,38.21,206.96,60.5,1.74,5
348,0.49,78.01,191.96,55.33,1.79,4
349,0.48,48.91,200.89,63.01,1.78,1
350,0.16,70.42,200.74,60.44,1.75,2
351,0.12,36.01,182.81,55.47,1.74,2
352,0.15,87.03,218.46,55.33,1.7,1
353,0.18,57.11,202.57,53.62,1.7,3
354,0.39,93.42,210.32,61.43,1.76,2
355,0.32,63.7,184.34,53.86,1.83,5
356,0.31,83.83,179.9,65.75,1.75,1
357,0.29,67.36,213.45,53.33,1.72,2
358,0.1,90.1,198.1,54.92,1.73,3
359,0.26,46.96,202.82,58.86,1.76,3
360,0.5,93.57,192.78,66.75,1.79,4
361,0.43,33.1,214.25,58.76,1.74,2
362,0.33,52.64,174.13,58.67,1.78,3
363,0.18,81.37,201.43,60.34,1.75,4
364,0.47,55.61,208.92,57.01,1.78,4
365,0.27,63.15,221.48,60.32,1.83,1
366,0.35,71.31,218.69,56.33,1.71,3
367,0.18,52.86,183.33,55.39,1.72,2
368,0.23,75.02,208.58,54.98,1.7,2
369,0.24,64.28,197.06,66.35,1.83,5
370,0.26,47.76,213.27,60.28,1.82,0
371,0.11,65.38,204.73,57.44,1.73,3
372,0.36,83.57,187.89,63.94,1.81,5
373,0.17,39.52,189.45,56.45,1.73,1
374,0.34,77.24,199.58,68.29,1.79,2
375,0.35,68.43,215.43,59.54,1.76,5
376,0.38,60.72,203.97,63.71,1.73,5
377,0.22,91.33,205.24,60.97,1.77,0
378,0.22,90.98,193.24,59.97,1.77,1
379,0.4,34.05,210.04,57.66,1.76,1
380,0.26,90.22,208.19,62.62,1.76,5
381,0.16,39.38,208.89,52.79,1.72,4
382,0.46,90.83,208.67,67.6,1.8,3
383,0.11,92.87,199.69,60.9,1.73,2
384,0.45,54.42,187.03,48.35,1.69,0
385,0.22,39.81,197.05,54.41,1.81,3
386,0.25,87.48,199.55,64.55,1.78,4
387,0.49,47.18,212.57,57.43,1.79,5
388,0.27,32.1,188.64,63.56,1.71,1
389,0.39,36.83,186.33,63.5,1.78,1
390,0.26,60.02,206.94,66.36,1.76,0
391,0.47,49.49,199.87,66.31,1.78,5
392,0.39,85.96,189.94,56.96,1.73,4
393,0.29,94.14,206.69,56.55,1.79,1
394,0.13,68.92,204.1,52.51,1.71,5
395,0.25,87.45,200.26,58.44,1.8,0
396,0.3,47.58,192.25,62.41,1.71,1
397,0.21,46.34,201.12,55.76,1.74,3
398,0.31,75.94,207.47,57.97,1.72,1
399,0.18,48.32,194.55,61.27,1.73,0
400,0.3,42.33,188.96,51.19,1.85,1
401,0.31,49.62,198.01,68.44,1.81,3
402,0.37,83.81,210.64,59.15,1.81,0
403,0.4,33.14,193.84,56.26,1.82,0
404,0.39,31.81,175.48,63.38,1.7,1
405,0.27,50.72,199.2,54.25,1.82,4
406,0.28,66.76,182.96,67.09,1.72,5
407,0.45,81.64,181.26,61.04,1.67,1
408,0.25,52.34,199.28,66.71,1.76,4
409,0.4,38.22,179.07,64.37,1.7,0
410,0.5,97.93,197.83,55.64,1.68,1
411,0.47,89.96,196.33,67.52,1.73,1
412,0.32,97.63,174.4,66.73,1.74,1
413,0.22,89.17,199.7,51.98,1.74,0
414,0.35,74.53,196.85,62.58,1.73,1
415,0.37,69.24,203.63,60.97,1.73,1
416,0.31,33.47,206.26,60.34,1.79,3
417,0.24,57.7,188.8,64.15,1.75,0
418,0.28,50.17,208.77,61.56,1.66,1
419,0.13,71.65,187.77,58.2,1.72,1
420,0.22,62.46,195.77,63.75,1.71,1
421,0.16,33.26,196.66,66.07,1.72,1
422,0.37,42.29,186.57,58.1,1.74,1
423,0.48,84.4,191.82,65.14,1.79,1
424,0.16,37.24,194.87,67.08,1.71,4
425,0.11,39.61,192.04,67.38,1.74,2
426,0.4,61.71,202.32,59.1,1.76,5
427,0.24,31.04,180.21,67.14,1.8,5
428,0.3,64.08,187.71,57.9,1.73,1
429,0.12,97.93,187.05,61.9,1.75,5
430,0.17,41.49,188.32,65.47,1.84,4
431,0.38,30.58,213.82,49.56,1.72,2
432,0.34,52.63,202.03,58.26,1.74,4
433,0.44,34.91,185.6,62.58,1.77,4
434,0.49,60.79,208.94,61.64,1.71,1
435,0.24,89.53,193.17,64.26,1.71,1
436,0.35,92.34,219.21,56.14,1.74,5
437,0.28,75.74,199.96,61.55,1.78,2
438,0.3,33.28,200.95,53.42,1.76,2
439,0.26,74.86,216.68,60.27,1.73,4
440,0.49,70.9,196.63,56.32,1.83,3
441,0.35,75.97,208.54,61.56,1.73,0
442,0.16,55.69,185.68,57.78,1.75,3
443,0.38,57.37,196.17,59.16,1.77,3
444,0.49,98.26,208.4,58.31,1.7,4
445,0.46,96.63,192.71,61.27,1.69,0
446,0.32,74.54,203.91,68.64,1.72,2
447,0.11,37.44,205.55,58.57,1.76,0
448,0.42,73.54,201.04,59.83,1.85,3
449,0.47,68.69,205.91,59.41,1.82,4
450,0.39,82.73,182.68,65.67,1.77,4
451,0.27,80.91,201.66,53.02,1.83,1
452,0.25,41.95,202.39,55.02,1.69,0
453,0.4,59.48,207.96,58.09,1.78,3
454,0.14,81.01,197.5,55.41,1.64,5
455,0.41,63.95,205.92,54.99,1.77,3
456,0.3,94.9,195.17,61.45,1.69,5
457,0.13,85.52,181.91,67.19,1.73,0
458,0.43,92.74,196.33,54.85,1.88,2
459,0.26,90.2,193.81,65.83,1.81,2
460,0.14,95.65,193.41,61.55,1.74,4
461,0.17,45.36,198.74,59.28,1.84,4
462,0.44,37.54,205.53,56.28,1.71,2
463,0.17,74.19,207.26,58.06,1.75,3
464,0.41,77.83,193.21,68.12,1.7,0
465,0.42,85.26,222.71,62.64,1.71,0
466,0.13,59.25,214.02,64.03,1.72,1
467,0.27,64.2,206.45,55.1,1.76,4
468,0.41,86.12,193.93,54.66,1.74,4
469,0.3,47.49,185.08,66.31,1.75,5
470,0.45,94.64,215.27,55.88,1.8,5
471,0.25,65.85,201.03,62.69,1.76,3
472,0.35,75.42,206.03,53.17,1.68,2
473,0.19,55.47,203.79,60.18,1.67,3
474,0.44,67.9,196.99,49.8,1.78,4
475,0.44,88.88,175.36,58.89,1.71,3
476,0.33,72.91,191.0,54.39,1.7,2
477,0.23,76.94,224.9,67.83,1.76,1
478,0.24,45.12,198.33,63.33,1.65,5
479,0.34,64.99,201.94,65.93,1.83,1
480,0.15,34.64,206.58,54.53,1.72,4
481,0.3,63.86,190.57,61.35,1.71,4
482,0.22,48.94,190.41,62.86,1.78,5
483,0.24,49.78,200.09,66.18,1.77,0
484,0.23,58.03,200.79,58.82,1.83,1
485,0.43,73.02,208.51,54.96,1.84,5
486,0.17,37.63,177.87,61.86,1.8,2
487,0.19,94.79,195.39,56.81,1.72,1
488,0.17,47.56,224.62,68.1,1.75,5
489,0.11,72.44,220.89,64.53,1.71,2
490,0.27,98.48,209.89,59.41,1.75,4
491,0.44,39.63,187.7,53.63,1.85,3
492,0.46,79.66,204.72,61.63,1.76,1
493,0.29,51.67,196.2,66.46,1.8,0
494,0.27,86.2,187.77,62.45,1.72,5
495,0.45,66.95,187.3,58.48,1.76,3
496,0.31,67.54,215.8,64.62,1.76,2
497,0.32,57.71,206.39,57.56,1.76,4
498,0.36,41.47,185.58,61.87,1.82,0
499,0.13,96.41,188.56,63.21,1.79,1
500,0.44,86.69,195.37,67.31,1.71,0
501,0.14,87.75,188.77,58.32,1.77,0
502,0.31,72.19,190.69,59.54,1.7,0
503,0.47,74.95,206.27,65.63,1.73,1
504,0.32,39.01,199.59,66.5,1.72,2
505,0.24,99.45,196.96,60.24,1.73,2
506,0.39,30.1,199.63,61.56,1.66,0
507,0.46,52.85,211.64,63.96,1.72,4
508,0.35,97.12,206.2,74.11,1.75,4
509,0.12,83.89,205.65,53.88,1.74,3
510,0.45,85.6,219.56,57.73,1.67,4
511,0.11,64.87,200.55,64.78,1.76,2
512,0.37,51.53,193.21,55.17,1.85,3
513,0.46,59.64,201.6,57.21,1.75,1
514,0.16,97.08,190.38,67.28,1.77,0
515,0.31,59.09,210.29,57.52,1.78,3
516,0.38,35.74,191.02,64.58,1.7,4
517,0.17,65.4,198.57,54.43,1.74,5
518,0.2,75.68,203.21,58.34,1.71,1
519,0.13,36.83,197.02,54.65,1.77,3
520,0.16,73.73,187.92,54.49,1.85,5
521,0.15,40.53,201.97,56.42,1.73,1
522,0.22,63.78,192.99,64.96,1.74,1
523,0.4,73.15,201.59,62.6,1.75,2
524,0.38,86.36,215.01,53.03,1.73,2
525,0.41,58.15,190.98,55.87,1.75,1
526,0.36,86.29,206.08,60.96,1.78,4
527,0.42,70.83,209.76,58.56,1.71,5
528,0.16,30.62,184.94,67.26,1.72,4
529,0.32,37.67,189.86,57.73,1.68,5
530,0.11,46.8,205.39,59.0,1.78,4
531,0.3,84.05,188.13,56.53,1.84,2
532,0.44,80.55,192.92,66.62,1.69,2
533,0.29,98.46,200.23,62.89,1.83,2
534,0.22,67.42,187.22,54.2,1.76,0
535,0.21,96.64,204.02,62.45,1.84,0
536,0.26,36.37,194.26,58.12,1.87,3
537,0.47,33.15,205.67,58.47,1.74,0
538,0.49,67.63,186.3,68.54,1.72,3
539,0.4,94.01,199.11,55.55,1.78,0
540,0.5,45.09,182.73,60.49,1.77,1
541,0.4,68.35,188.5,62.61,1.8,1
542,0.21,87.24,199.63,64.72,1.83,4
543,0.27,46.33,194.62,59.18,1.68,2
544,0.39,45.39,199.96,62.4,1.79,2
545,0.38,45.1,215.23,59.71,1.78,0
546,0.37,52.53,182.87,63.99,1.67,3
547,0.3,76.64,210.08,62.06,1.74,1
548,0.16,74.08,190.19,57.37,1.82,4
549,0.48,64.31,194.46,54.95,1.73,1
550,0.19,87.65,224.94,57.01,1.66,2
551,0.49,78.2,200.53,62.47,1.81,1
552,0.15,83.83,204.58,57.19,1.67,1
553,0.49,99.63,193.35,61.69,1.83,4
554,0.25,49.59,194.26,59.75,1.71,3
555,0.42,66.21,222.06,56.86,1.8,3
556,0.1,52.62,205.92,57.76,1.74,4
557,0.28,59.34,201.53,61.08,1.83,1
558,0.2,54.32,188.17,66.53,1.7,0
559,0.38,91.77,191.51,57.63,1.7,4
560,0.37,34.58,203.74,63.16,1.83,4
561,0.28,86.67,196.82,62.92,1.71,4
562,0.38,64.66,190.11,60.96,1.69,5
563,0.49,61.21,214.03,67.78,1.7,3
564,0.14,75.7,193.56,65.57,1.78,5
565,0.33,84.62,216.36,65.39,1.79,0
566,0.37,48.29,181.12,64.7,1.68,4
567,0.35,37.47,213.0,56.66,1.75,2
568,0.2,71.88,195.05,65.7,1.82,4
569,0.45,80.65,217.63,57.57,1.85,2
570,0.2,90.43,190.05,66.49,1.78,3
571,0.44,98.37,200.63,54.75,1.67,1
572,0.29,54.18,194.13,61.24,1.75,1
573,0.16,75.33,200.15,53.68,1.81,2
574,0.43,33.8,204.66,64.03,1.72,4
575,0.13,76.3,214.21,59.23,1.75,1
576,0.42,35.1,197.8,54.67,1.74,1
577,0.34,73.04,190.68,65.61,1.86,1
578,0.45,31.22,213.96,61.94,1.75,2
