machineID,spindle_speed [RPM],feed_rate [mm/min],tool_temperature [°C],vibration_level [m/s²],power_consumption [kW],tool_wear [min],failure_type
66,1159.82,253.8,13206.5,1.6,5.04,0.0,4
67,1036.98,130.13,13399.1,1.54,5.32,0.0,1
68,1246.28,129.73,13605.46,1.66,4.37,0.0,4
69,1109.27,158.09,13801.46,1.66,5.37,0.0,0
70,1205.19,249.32,13999.25,1.66,4.65,0.0,1
71,1272.91,216.86,14201.09,1.26,5.07,0.0,5
72,1212.9,169.21,14404.84,1.65,4.93,0.0,1
73,1313.94,260.19,14609.56,1.56,5.45,0.0,1
74,1076.52,118.81,14817.8,1.41,4.91,0.0,5
75,1240.23,159.45,15010.08,1.5,5.04,0.0,5
76,1131.52,269.65,15203.91,1.55,4.29,0.0,2
77,1112.92,172.48,15399.4,1.47,5.38,0.0,3
78,1142.12,165.25,15593.03,1.59,4.94,0.0,2
79,1168.84,207.03,15792.72,1.45,4.91,0.0,3
80,1205.62,281.72,16002.05,1.29,4.12,0.0,5
81,1083.49,292.42,16200.3,1.47,4.98,0.0,4
82,1290.08,115.86,16401.39,1.2,5.38,0.0,0
83,1246.57,289.69,16589.2,1.6,4.74,0.0,1
84,1046.38,292.16,16789.01,1.53,5.36,0.0,3
85,1348.83,169.87,16987.75,1.39,4.94,0.0,0
86,1389.59,103.62,17184.18,1.43,5.21,0.0,2
87,1317.88,170.56,17388.64,1.53,5.44,0.0,1
88,1182.01,254.09,17595.32,1.65,5.09,0.0,5
89,1092.92,124.5,17794.9,1.48,4.7,0.0,0
90,1305.45,148.95,18007.47,1.44,5.71,0.0,0
91,1159.68,123.92,18207.96,1.2,4.47,0.0,5
92,1322.24,106.83,18403.72,1.46,4.11,0.0,0
93,1220.83,267.53,18606.22,1.53,5.08,0.0,1
94,1297.66,219.36,18804.17,1.57,5.38,0.0,1
95,1235.64,275.34,19006.9,1.47,5.74,0.0,1
96,1270.66,124.68,19204.47,1.63,5.1,0.0,3
97,1201.05,236.01,19394.24,1.51,4.84,0.0,4
98,1378.59,215.01,19599.44,1.63,3.93,0.0,3
99,1212.69,267.56,19800.02,1.39,5.1,0.0,0
100,1240.2,196.07,19991.44,1.64,5.62,0.0,1
101,1388.32,157.5,20185.9,1.9,4.69,0.0,0
102,1065.22,201.64,20387.16,1.28,5.45,0.0,3
103,1072.95,195.44,20580.94,1.47,4.45,0.0,1
104,1296.94,237.22,20783.73,1.72,5.02,0.0,3
105,1082.69,288.83,20992.62,1.63,4.89,0.0,3
106,1394.36,173.32,21184.64,1.82,5.69,0.0,3
107,1158.64,214.16,21392.34,1.25,5.13,0.0,0
108,1125.25,171.04,21589.39,1.13,5.5,0.0,4
109,1392.29,211.56,21780.32,1.54,4.69,0.0,0
110,1348.05,282.52,21981.17,1.22,5.31,0.0,5
111,1386.76,165.91,22180.52,1.44,5.4,0.0,3
112,1290.6,286.48,22383.16,1.6,4.95,0.0,5
113,1113.88,253.73,22584.38,1.21,3.76,0.0,1
114,1391.01,245.34,22782.77,1.32,4.27,0.0,5
115,1173.2,261.15,22989.05,1.22,5.63,0.0,5
116,1280.25,208.79,23192.82,1.53,6.1,0.0,1
117,1294.73,141.14,23393.58,1.3,4.68,0.0,2
118,1184.5,297.94,23591.47,1.69,5.24,0.0,1
119,1261.41,156.65,23795.55,1.42,5.22,0.0,3
120,1292.22,156.64,24002.7,1.45,5.44,0.0,4
121,1237.64,205.52,24203.35,1.09,4.73,0.0,5
122,1090.06,182.24,24405.65,1.49,5.41,0.0,3
123,1229.82,117.37,24601.3,1.49,4.54,0.0,5
124,1332.64,191.7,24801.18,1.68,4.54,0.0,2
125,1130.54,167.92,24995.56,1.34,4.78,0.0,1
126,1185.04,282.94,25196.25,1.75,4.45,0.0,5
127,1156.48,278.83,25397.47,1.74,4.61,0.0,3
128,1384.93,221.13,25588.83,1.41,5.16,0.0,0
129,1267.23,242.54,25786.34,1.6,4.55,0.0,3
130,1240.75,217.62,25992.84,1.21,5.67,0.0,5
131,1123.01,146.2,26190.0,1.33,6.29,0.0,1
132,1253.92,251.3,26392.98,1.6,5.82,0.0,2
133,1132.57,154.33,26596.7,1.61,4.93,0.0,1
134,1203.18,173.13,26795.41,1.75,4.7,0.0,3
135,1136.42,268.58,26990.49,1.8,5.95,0.0,5
136,1267.64,173.01,27191.67,1.67,5.05,0.0,5
137,1257.66,109.63,27393.35,1.59,5.18,0.0,4
138,1179.17,104.76,27583.26,1.3,4.6,0.0,0
139,1239.6,246.25,27786.53,1.51,4.9,0.0,3
140,1090.69,109.05,27987.04,1.2,5.35,0.0,3
141,1050.87,299.14,28187.44,1.7,5.49,0.0,0
142,1243.94,298.56,28395.55,1.4,3.78,0.0,1
143,1216.67,183.92,28601.19,1.87,4.96,0.0,3
144,1263.5,149.52,28809.01,1.44,5.84,0.0,3
145,1438.31,261.52,29017.67,1.77,5.0,0.0,1
146,1294.45,246.05,29218.16,1.53,5.68,0.0,4
147,1108.72,288.01,29417.82,1.97,4.61,0.0,3
148,1311.7,143.45,29620.54,1.57,4.37,0.0,3
149,1068.41,289.55,29811.02,1.67,5.3,0.0,1
150,1153.84,219.72,30019.83,1.26,5.39,0.0,2
151,1193.18,210.56,30212.08,1.83,4.7,0.0,1
152,1371.33,224.86,30405.98,1.83,5.49,0.0,3
153,1125.52,154.2,30605.07,2.0,4.34,0.0,2
154,1117.36,174.19,30791.61,1.39,4.6,0.0,0
155,1190.15,276.87,30992.46,1.36,5.0,0.0,5
156,1133.65,231.66,31195.48,1.61,5.89,0.0,2
157,1312.66,272.84,31395.77,1.52,4.69,0.0,2
158,1092.01,157.39,31607.55,1.62,5.24,0.0,3
159,1085.25,114.67,31806.51,1.39,5.33,0.0,1
160,1156.22,127.03,32004.25,1.27,4.41,0.0,3
161,1150.2,151.66,32203.04,1.6,4.8,0.0,2
162,1392.95,198.85,32405.38,1.41,5.31,0.0,3
163,1294.94,138.35,32602.21,1.39,5.21,0.0,4
164,1208.76,235.72,32802.82,1.5,5.45,0.0,5
165,1077.46,255.63,33003.89,1.71,5.02,0.0,3
166,1284.44,242.62,33210.61,1.22,4.57,0.0,5
167,1099.98,245.57,33416.99,1.23,5.99,0.0,2
168,1045.52,214.04,33614.73,1.33,5.48,0.0,5
169,1318.8,248.89,33811.86,1.1,5.26,0.0,2
170,1231.69,276.96,34018.89,1.93,5.05,0.0,5
171,1292.09,227.81,34211.45,1.6,5.47,0.0,2
172,1231.87,288.68,34408.93,1.32,4.53,0.0,2
173,1285.68,211.99,34613.85,1.7,4.84,0.0,2
174,1134.9,233.5,34808.43,1.39,5.79,0.0,4
175,1096.58,195.18,35007.04,1.66,5.44,0.0,5
176,1268.16,210.2,35209.24,1.6,5.65,0.0,3
177,1119.66,250.9,35408.66,1.79,3.87,0.0,5
178,1131.05,299.67,35609.54,1.45,4.57,0.0,3
179,1154.45,109.52,35813.25,1.33,6.27,0.0,5
180,1201.75,209.37,36011.41,1.42,4.55,0.0,3
181,1164.6,181.88,36207.81,1.79,4.96,0.0,5
182,1062.5,285.89,36405.3,1.39,5.55,0.0,0
183,1135.64,130.98,36606.33,1.11,5.6,0.0,2
184,977.66,264.74,36809.95,1.52,5.05,0.0,0
185,1262.52,126.08,37017.9,1.48,4.65,0.0,2
186,1039.79,254.57,37218.37,1.64,4.94,0.0,4
187,1089.56,278.55,37414.92,1.54,4.92,0.0,3
188,1205.22,249.3,37604.93,1.38,6.38,0.0,3
189,1126.04,289.89,37802.8,1.24,5.68,0.0,2
190,1354.3,220.06,37996.93,1.43,5.13,0.0,5
191,1070.71,156.19,38202.58,1.51,4.61,0.0,5
192,1226.71,273.48,38404.67,2.04,4.01,0.0,5
193,1196.07,249.94,38593.1,1.3,4.97,0.0,2
194,1083.19,267.69,38796.06,1.47,4.81,0.0,3
195,1252.33,205.81,38994.56,1.4,4.89,0.0,4
196,1182.85,268.46,39203.11,1.51,4.91,0.0,1
197,1277.18,123.03,39397.31,1.35,5.22,0.0,5
198,1282.35,283.93,39586.67,1.51,5.58,0.0,0
199,1416.32,145.18,39785.01,1.53,5.93,0.0,0
200,1333.65,257.11,39991.32,1.7,5.57,0.0,4
201,1163.08,100.2,40187.76,1.24,5.22,0.0,2
202,1176.06,285.95,40396.56,1.43,5.82,0.0,1
203,1309.97,290.32,40593.3,1.16,5.43,0.0,2
204,1265.53,287.23,40801.53,1.37,4.46,0.0,0
205,1264.01,209.75,40996.79,1.39,4.64,0.0,5
206,1038.3,135.43,41192.62,1.56,4.64,0.0,5
207,1197.57,115.05,41389.35,1.3,5.58,0.0,4
208,1126.2,224.45,41587.79,1.16,4.66,0.0,2
209,1227.99,206.68,41779.72,1.63,4.88,0.0,4
210,1190.18,194.45,41974.35,1.1,5.33,0.0,0
211,1291.02,120.46,42174.57,1.58,4.92,0.0,3
212,1231.72,274.92,42369.07,1.42,4.53,0.0,4
213,1278.63,245.57,42574.31,1.14,5.32,0.0,5
214,1153.36,274.89,42781.35,1.65,4.56,0.0,1
215,1105.56,178.04,42979.42,1.66,4.84,0.0,0
216,1159.0,223.27,43180.84,1.25,4.77,0.0,2
217,1198.3,195.88,43387.61,1.77,4.41,0.0,4
218,1237.92,296.64,43590.11,1.29,5.0,0.0,1
219,1425.93,178.0,43790.02,1.28,4.82,0.0,1
220,1195.77,263.12,43995.83,1.13,5.35,0.0,1
221,1104.41,217.96,44204.69,1.22,4.57,0.0,5
222,1165.4,162.93,44400.8,1.54,4.6,0.0,2
223,1153.64,182.36,44604.88,1.4,4.26,0.0,1
224,1248.15,170.47,44801.84,1.54,4.72,0.0,0
225,1045.92,252.99,45011.52,1.73,5.03,0.0,4
226,1206.33,233.3,45207.86,1.55,4.3,0.0,5
227,1215.65,123.25,45412.68,1.12,4.75,0.0,5
228,1223.22,254.78,45615.14,1.38,4.51,0.0,3
229,1140.27,192.27,45817.64,1.58,6.1,0.0,4
230,1176.21,165.3,46016.7,1.43,5.43,0.0,1
231,1057.59,174.78,46219.93,1.35,4.94,0.0,2
232,1150.67,126.02,46416.87,1.22,4.89,0.0,2
233,1145.71,162.46,46609.86,1.57,4.81,0.0,0
234,1241.61,134.65,46808.6,1.34,4.9,0.0,4
235,1084.38,191.52,47008.6,1.34,4.77,0.0,4
236,1278.12,205.58,47206.68,1.28,5.66,0.0,0
237,1349.45,298.0,47407.97,1.33,4.73,0.0,1
238,993.0,253.78,47606.63,1.55,5.45,0.0,4
239,1242.63,205.78,47798.77,1.34,5.84,0.0,3
240,1267.69,174.87,48000.43,1.27,5.03,0.0,4
241,1136.26,131.8,48216.44,1.21,5.46,0.0,0
242,1160.27,175.86,48419.51,1.24,4.69,0.0,5
243,1186.71,208.92,48623.52,1.72,5.27,0.0,3
244,1170.22,135.56,48824.12,1.75,5.07,0.0,0
245,1169.1,279.98,49024.71,1.3,4.6,0.0,5
246,1032.4,227.82,49224.64,1.59,4.8,0.0,1
247,1315.23,181.01,49423.91,1.12,4.64,0.0,1
248,1307.96,258.85,49624.19,1.43,5.09,0.0,0
249,1118.66,126.91,49824.22,1.31,4.85,0.0,0
250,1053.36,267.56,50027.98,1.46,4.72,0.0,0
251,1252.11,103.78,50229.15,1.07,5.14,0.0,3
252,1142.42,179.02,50432.1,1.58,4.45,0.0,0
253,1214.2,211.76,50627.0,1.57,4.41,0.0,5
254,1168.07,133.59,50827.73,1.42,5.07,0.0,5
255,1269.15,233.96,51032.71,1.63,5.09,0.0,2
256,1269.47,292.22,51232.13,1.28,4.4,0.0,5
257,1127.44,116.18,51421.11,1.18,5.88,0.0,2
258,1061.66,101.85,51619.28,1.53,5.42,0.0,1
259,1041.71,241.65,51823.43,1.66,4.95,0.0,4
260,1261.04,258.67,52027.2,1.17,4.22,0.0,2
261,1081.11,183.26,52221.15,1.82,4.88,0.0,3
262,1149.32,169.19,52422.48,1.61,4.7,0.0,4
263,1140.37,170.33,52629.23,1.37,4.71,0.0,5
264,1194.74,267.71,52838.93,1.59,5.28,0.0,1
265,1006.37,111.56,53037.97,1.43,4.88,0.0,3
266,1218.88,259.24,53235.07,1.59,4.71,0.0,2
267,1252.39,128.34,53440.61,1.44,4.57,0.0,4
268,1208.84,264.16,53637.75,1.37,5.08,0.0,4
269,1168.91,208.29,53840.76,1.37,4.59,0.0,5
270,1209.74,267.18,54049.48,1.58,4.62,0.0,5
271,1239.9,129.2,54245.71,1.66,4.32,0.0,0
272,922.74,128.94,54447.41,1.36,4.23,0.0,1
273,1395.59,143.02,54638.33,1.61,4.21,0.0,2
274,1239.01,203.51,54840.68,1.42,4.77,0.0,3
275,1134.76,188.61,55032.5,1.43,4.81,0.0,5
276,1160.9,152.32,55235.09,1.62,4.87,0.0,4
277,1249.37,156.0,55436.63,1.66,4.63,0.0,5
278,1188.39,253.22,55634.77,1.53,4.58,0.0,1
279,996.93,115.57,55843.69,1.67,4.81,0.0,5
280,1406.45,279.64,56052.58,1.41,5.03,0.0,2
281,1188.95,178.87,56256.21,1.55,4.99,0.0,2
282,1302.02,250.6,56453.47,1.33,4.96,0.0,5
283,1130.8,130.92,56647.9,1.45,5.02,0.0,1
284,1353.64,257.77,56841.89,1.64,4.15,0.0,5
285,1228.63,150.87,57041.43,1.76,4.85,0.0,2
286,1260.88,100.49,57238.95,1.5,5.05,0.0,4
287,1095.47,255.43,57437.87,1.22,5.15,0.0,1
288,1321.11,218.06,57624.69,1.45,4.7,0.0,4
289,1268.98,234.29,57820.98,1.61,4.34,0.0,4
290,1330.18,219.73,58018.46,1.38,5.49,0.0,5
291,1137.19,146.46,58208.86,1.74,5.13,0.0,3
292,1151.9,165.82,58406.46,1.76,4.71,0.0,5
293,1430.39,101.48,58599.89,1.99,5.11,0.0,3
294,1094.0,282.42,58796.74,1.86,6.57,0.0,2
295,1186.41,187.77,58992.41,1.52,4.93,0.0,1
296,1313.69,133.62,59184.78,1.46,4.64,0.0,0
297,1209.77,100.08,59390.82,1.51,4.95,0.0,1
298,1258.3,257.04,59597.59,1.47,4.36,0.0,3
299,1160.06,168.75,59792.44,1.59,5.09,0.0,1
300,1237.01,156.89,59993.7,1.36,5.45,0.0,2
301,1069.35,206.3,60187.77,1.21,5.22,0.0,1
302,1365.81,198.51,60381.39,1.42,4.72,0.0,3
303,1188.18,223.78,60580.73,1.58,3.82,0.0,0
304,1131.98,100.84,60780.76,1.45,5.67,0.0,5
305,1266.64,172.97,60974.97,1.55,4.75,0.0,2
306,1153.93,294.92,61175.83,1.39,4.93,0.0,2
307,1066.57,141.44,61371.62,1.46,4.73,0.0,5
308,1065.33,165.63,61571.06,1.39,4.05,0.0,5
309,1269.38,122.81,61768.76,1.74,5.39,0.0,1
310,1184.04,200.08,61962.91,1.51,4.13,0.0,2
311,1186.63,180.13,62174.24,1.56,4.48,0.0,2
312,1307.77,180.88,62376.44,1.23,5.0,0.0,0
313,1087.32,184.31,62580.77,1.63,5.55,0.0,5
314,1126.93,240.42,62777.59,1.43,4.53,0.0,1
315,1161.51,190.38,62982.66,1.27,5.6,0.0,4
316,1209.44,152.12,63185.33,1.54,5.32,0.0,5
317,1195.78,198.62,63391.82,1.43,5.59,0.0,3
318,1171.31,289.14,63590.14,1.4,5.46,0.0,5
319,1193.84,194.23,63793.86,1.58,4.75,0.0,3
320,1189.27,127.8,63994.22,1.45,4.2,0.0,5
321,1128.04,264.69,64196.88,1.21,4.88,0.0,3
322,1118.7,283.5,64404.77,1.58,5.16,0.0,2
323,1227.45,168.1,64600.81,1.79,4.29,0.0,3
324,1110.91,104.41,64788.68,1.38,5.91,0.0,2
325,1084.26,261.14,64988.18,1.49,5.06,0.0,0
326,1168.77,165.02,65190.38,1.64,5.39,0.0,5
327,1184.23,209.55,65389.32,1.26,4.63,0.0,4
328,1425.67,256.93,65585.26,1.25,5.05,0.0,3
329,1129.53,195.36,65779.51,1.45,4.52,0.0,2
330,1294.33,158.48,65977.42,1.5,3.68,0.0,0
331,1274.72,271.33,66176.48,1.7,4.94,0.0,0
332,1081.11,284.62,66368.63,1.4,3.44,0.0,2
333,1277.33,243.39,66572.19,1.37,5.98,0.0,0
334,1081.61,102.42,66770.18,2.09,5.42,0.0,4
335,934.08,108.63,66971.17,1.34,5.07,0.0,2
336,1260.63,215.54,67166.12,1.26,3.81,0.0,4
337,1024.41,255.16,67362.37,1.63,5.34,0.0,5
338,1245.09,128.29,67560.64,1.57,4.91,0.0,5
339,1131.6,280.5,67763.38,1.55,5.18,0.0,4
340,1365.96,283.4,67956.82,1.18,5.49,0.0,2
341,1306.85,258.44,68159.09,1.53,4.68,0.0,0
342,1154.66,229.7,68365.41,1.65,4.55,0.0,5
343,1131.22,173.47,68558.77,1.27,4.5,0.0,4
344,1078.59,118.53,68770.12,1.6,5.04,0.0,4
345,1155.91,287.79,68960.26,1.56,4.69,0.0,3
346,1171.96,156.87,69159.55,1.43,5.34,0.0,0
347,1163.53,136.58,69369.79,1.61,5.08,0.0,5
348,1215.67,289.61,69573.22,1.2,4.57,0.0,3
349,1257.85,219.39,69767.28,1.68,4.9,0.0,4
350,1234.97,290.98,69967.33,1.23,5.2,0.0,0
351,1123.59,265.91,70170.09,1.34,5.52,0.0,3
352,1056.22,158.2,70372.57,1.87,4.05,0.0,2
353,1336.45,233.19,70570.06,1.55,5.02,0.0,3
354,1131.06,221.55,70773.88,1.66,4.77,0.0,3
355,1134.77,179.5,70977.63,1.5,4.39,0.0,0
356,1147.88,208.41,71182.57,1.29,5.41,0.0,1
357,1015.69,205.58,71387.84,2.14,5.18,0.0,4
358,1152.2,112.96,71585.23,1.56,4.86,0.0,1
359,1152.03,135.91,71793.2,1.26,4.97,0.0,4
360,1262.04,209.11,71999.17,1.33,5.12,0.0,1
361,1269.85,108.7,72193.2,1.24,5.69,0.0,0
362,1200.38,262.03,72389.73,1.75,5.58,0.0,0
363,1293.18,178.47,72588.35,1.45,4.54,0.0,4
364,1234.0,115.12,72790.06,1.33,5.26,0.0,5
365,1198.43,268.27,72988.07,1.46,5.45,0.0,4
366,1216.09,113.72,73188.14,1.34,4.39,0.0,3
367,1180.93,133.71,73387.34,1.42,5.13,0.0,1
368,1160.52,253.33,73585.06,1.19,4.22,0.0,1
369,1173.23,286.73,73792.07,1.53,5.35,0.0,1
370,1087.2,106.92,73993.28,1.29,4.36,0.0,5
371,1228.04,112.1,74193.31,1.44,5.25,0.0,5
372,1100.69,196.53,74388.93,1.35,4.42,0.0,5
373,1284.16,183.98,74591.21,0.96,4.95,0.0,2
374,1175.05,292.68,74790.72,1.05,5.62,0.0,4
375,1204.95,189.49,74985.68,1.49,5.22,0.0,3
376,1249.38,242.06,75178.91,1.53,5.85,0.0,0
377,1264.33,170.08,75374.62,1.47,4.84,0.0,3
378,1042.94,136.85,75578.65,1.28,5.31,0.0,2
379,1179.31,237.91,75773.33,1.45,5.18,0.0,3
380,1288.02,191.05,75972.8,1.7,5.82,0.0,5
381,1030.19,213.85,76174.94,1.7,4.72,0.0,0
382,1238.73,260.93,76370.82,1.52,4.67,0.0,4
383,974.44,170.69,76579.87,1.43,4.24,0.0,1
384,1097.75,198.5,76771.97,1.27,3.96,0.0,0
385,1203.86,201.37,76971.82,1.68,5.47,0.0,4
386,1034.33,113.66,77170.22,1.26,4.6,0.0,2
387,1101.45,237.5,77372.86,1.36,4.93,0.0,5
388,1052.82,188.78,77565.53,1.48,4.45,0.0,3
389,1364.81,219.83,77768.5,1.4,5.66,0.0,4
390,1216.42,277.39,77964.15,1.36,4.02,0.0,1
391,1256.73,152.45,78165.99,1.53,4.7,0.0,1
392,1177.73,234.74,78368.25,1.46,4.39,0.0,3
393,1164.66,211.52,78571.23,1.81,4.54,0.0,4
394,1038.35,208.21,78765.5,1.55,5.21,0.0,5
395,1170.82,287.3,78965.19,1.54,5.01,0.0,0
396,1123.85,171.82,79164.83,1.11,4.77,0.0,1
397,1285.79,113.67,79361.57,1.41,4.15,0.0,0
398,1314.11,168.46,79571.27,1.31,4.58,0.0,2
399,1346.66,101.23,79761.27,1.56,5.38,0.0,0
400,1285.26,264.52,79958.9,1.45,5.04,0.0,5
401,1140.13,297.79,80155.49,1.41,4.65,0.0,3
402,1088.41,262.56,80345.46,1.35,4.55,0.0,0
403,1276.67,258.76,80544.47,1.43,4.87,0.0,5
404,1235.63,229.05,80744.53,1.92,5.11,0.0,1
405,1023.15,215.1,80948.85,1.32,4.56,0.0,5
406,1235.55,213.56,81151.6,1.61,4.75,0.0,5
407,1281.45,181.06,81354.11,1.51,4.24,0.0,3
408,1205.89,134.66,81558.5,1.31,6.12,0.0,1
409,1181.49,230.57,81756.0,1.74,4.33,0.0,0
410,1119.24,105.04,81954.76,1.58,5.76,0.0,5
411,1055.35,146.35,82158.61,1.6,4.81,0.0,5
412,1280.03,100.85,82356.41,1.39,5.06,0.0,2
413,1169.09,199.83,82560.22,1.88,4.91,0.0,1
414,1176.65,171.29,82755.25,1.46,5.54,0.0,4
415,1373.27,185.42,82950.75,1.8,6.05,0.0,5
416,1268.45,214.67,83149.57,1.23,5.46,0.0,0
417,1237.08,115.21,83352.35,1.33,4.74,0.0,0
418,1214.21,152.56,83549.43,1.54,4.72,0.0,1
419,1352.0,146.0,83749.64,1.64,5.1,0.0,0
420,1371.96,277.27,83952.38,1.5,5.11,0.0,1
421,1292.95,248.25,84154.63,1.63,5.03,0.0,3
422,1258.22,137.18,84364.66,1.66,4.22,0.0,1
423,990.54,267.67,84567.48,1.68,4.85,0.0,1
424,1212.37,198.55,84765.33,1.4,4.41,0.0,3
425,1186.99,262.49,84963.36,1.34,5.84,0.0,5
426,1209.4,246.32,85166.43,1.53,5.17,0.0,0
427,1294.3,172.33,85364.65,1.52,3.72,0.0,2
428,926.03,220.35,85564.42,1.33,4.48,0.0,3
429,1143.07,219.91,85768.4,1.38,5.76,0.0,4
430,1226.99,284.01,85968.26,1.44,5.35,0.0,5
431,1153.32,119.23,86167.32,1.3,4.25,0.0,4
432,1058.31,267.91,86365.99,1.38,4.98,0.0,3
433,1286.9,178.73,86563.03,1.55,5.03,0.0,5
434,1227.69,128.12,86765.28,1.76,4.26,0.0,4
435,1102.89,157.23,86967.61,1.47,5.33,0.0,5
436,1231.48,134.86,87174.49,1.07,4.76,0.0,1
437,1282.16,117.84,87376.37,1.36,4.7,0.0,0
438,1200.53,152.31,87586.68,1.37,5.78,0.0,1
439,1280.06,188.95,87784.17,1.55,5.14,0.0,2
440,1207.83,242.6,87995.49,1.4,5.15,0.0,3
441,1160.48,290.57,88199.59,1.51,5.39,0.0,0
442,1084.06,137.63,88401.47,1.64,5.55,0.0,4
443,1191.41,118.12,88602.14,1.75,5.54,0.0,0
444,1219.43,179.17,88798.4,1.5,4.66,0.0,4
445,1287.58,247.27,88994.94,1.5,5.17,0.0,2
446,1188.49,265.09,89187.4,1.37,4.77,0.0,1
447,1245.74,140.37,89383.12,1.02,5.94,0.0,3
448,1103.54,166.47,89581.45,1.42,5.02,0.0,0
449,1121.74,117.81,89780.1,1.37,5.31,0.0,2
450,1188.96,173.7,89983.82,1.65,4.55,0.0,0
451,1094.54,164.99,90187.01,1.4,4.88,0.0,4
452,1282.02,211.06,90392.96,1.61,5.79,0.0,3
453,1246.31,240.37,90591.14,1.48,5.29,0.0,4
454,1227.91,189.66,90791.27,1.45,4.99,0.0,1
455,1233.89,100.26,90992.2,1.08,5.52,0.0,4
456,1402.1,247.59,91181.55,1.36,6.31,0.0,3
457,1153.11,140.3,91381.25,1.31,5.35,0.0,4
458,979.86,230.24,91580.42,1.65,5.02,0.0,2
459,1219.93,278.15,91788.42,1.55,5.44,0.0,4
460,1194.94,181.82,91990.31,1.62,4.82,0.0,3
461,1148.25,106.17,92185.87,1.21,5.72,0.0,4
462,1102.12,286.46,92386.67,1.57,5.01,0.0,2
