machineID,spindle_speed [RPM],feed_rate [mm/rev],depth_of_cut [mm],tool_wear [mm],vibration_level [m/s²],cutting_force [N],failure_type
52,761.89,0.16,2.17,0.0,1.19,826.65,1
53,762.43,0.15,2.02,0.0,1.06,770.05,4
54,792.55,0.42,2.57,0.0,1.22,1018.43,5
55,843.35,0.25,1.84,0.0,1.35,775.88,0
56,927.84,0.39,1.39,0.0,1.15,644.85,1
57,736.53,0.43,1.46,0.0,1.17,537.67,1
58,850.84,0.35,2.14,0.0,1.16,910.4,0
59,821.61,0.19,2.36,0.0,1.24,969.5,5
60,614.14,0.45,1.84,0.0,1.18,565.01,1
61,758.07,0.13,1.92,0.0,1.11,727.75,4
62,786.77,0.15,1.6,0.0,1.48,629.42,0
63,796.04,0.37,1.77,0.0,1.19,704.5,4
64,832.6,0.34,1.68,0.0,1.11,699.38,1
65,595.97,0.45,2.08,0.0,1.28,619.81,2
66,804.63,0.27,1.8,0.0,1.21,724.17,4
67,732.23,0.46,2.54,0.0,1.18,929.93,0
68,656.06,0.33,1.99,0.0,1.1,652.78,3
69,852.43,0.3,1.36,0.0,1.08,579.65,3
70,873.53,0.19,1.89,0.0,1.22,825.49,5
71,734.67,0.25,1.82,0.0,1.36,668.55,2
72,884.25,0.18,2.06,0.0,1.17,910.78,0
73,761.85,0.12,1.06,0.0,1.06,403.78,5
74,806.65,0.41,1.82,0.0,1.09,734.05,2
75,690.13,0.34,2.31,0.0,1.29,797.1,0
76,958.45,0.47,2.53,0.0,1.21,1212.44,0
77,534.06,0.48,2.07,0.0,1.13,552.75,4
78,790.85,0.45,1.58,0.0,1.1,624.77,3
79,869.51,0.22,1.66,0.0,1.15,721.69,1
80,596.65,0.48,2.4,0.0,1.16,715.98,4
81,781.05,0.31,2.42,0.0,1.28,945.07,3
82,792.28,0.23,1.7,0.0,1.31,673.44,3
83,882.47,0.45,1.45,0.0,1.07,639.79,1
84,924.82,0.34,2.02,0.0,1.24,934.07,1
85,759.61,0.3,2.46,0.0,1.18,934.32,4
86,661.55,0.16,2.03,0.0,1.04,671.47,5
87,936.72,0.34,2.34,0.0,1.07,1095.96,2
88,921.79,0.48,2.09,0.0,1.34,963.27,0
89,753.8,0.44,1.99,0.0,1.28,750.03,5
90,835.09,0.16,1.82,0.0,1.28,759.93,3
91,838.19,0.19,2.06,0.0,1.22,863.34,0
92,856.63,0.14,3.24,0.0,1.21,1387.74,3
93,820.42,0.36,3.05,0.0,1.39,1251.14,4
94,940.67,0.11,1.81,0.0,1.25,851.31,0
95,626.2,0.12,1.06,0.0,1.3,331.89,3
96,904.08,0.14,2.05,0.0,1.31,926.68,0
97,838.05,0.24,0.91,0.0,1.21,381.31,4
98,778.29,0.13,2.28,0.0,1.17,887.25,2
99,917.35,0.35,2.02,0.0,1.21,926.52,1
100,565.64,0.35,1.4,0.0,1.19,395.95,2
101,916.15,0.16,1.66,0.0,1.25,760.4,3
102,838.61,0.46,2.08,0.0,1.28,872.15,3
103,686.69,0.32,2.7,0.0,1.23,927.03,4
104,843.31,0.17,1.65,0.0,1.25,695.73,2
105,769.59,0.35,1.38,0.0,1.12,531.02,2
106,1058.53,0.4,1.92,0.0,1.11,1016.19,5
107,983.53,0.2,1.86,0.0,1.02,914.68,5
108,844.07,0.46,2.7,0.0,1.08,1139.49,0
109,728.07,0.34,1.65,0.0,1.14,600.66,2
110,741.66,0.41,1.93,0.0,0.97,715.7,3
111,767.5,0.17,1.54,0.0,1.19,590.98,5
112,743.98,0.21,2.02,0.0,1.27,751.42,2
113,709.78,0.21,1.95,0.0,1.28,692.04,4
114,740.9,0.16,1.98,0.0,1.11,733.49,4
115,772.38,0.45,2.04,0.0,1.14,787.83,2
116,748.31,0.39,1.65,0.0,1.0,617.36,0
117,730.14,0.3,1.79,0.0,1.07,653.48,2
118,707.11,0.46,2.68,0.0,1.06,947.53,1
119,1055.04,0.31,1.64,0.0,1.14,865.13,3
120,652.68,0.28,1.66,0.0,1.25,541.72,1
121,697.86,0.37,0.86,0.0,1.25,300.08,2
122,843.24,0.13,1.92,0.0,1.13,809.51,2
123,767.64,0.36,2.48,0.0,1.3,951.87,3
124,842.38,0.3,2.1,0.0,1.12,884.5,2
125,879.92,0.12,1.71,0.0,1.21,752.33,2
126,926.26,0.1,2.16,0.0,1.33,1000.36,1
127,875.2,0.19,3.22,0.0,1.2,1409.07,1
128,700.62,0.11,2.2,0.0,1.28,770.68,2
129,910.91,0.38,2.16,0.0,1.15,983.78,4
130,623.51,0.4,1.5,0.0,1.1,467.63,5
131,788.56,0.18,1.96,0.0,1.37,772.79,0
132,750.18,0.23,2.5,0.0,1.09,937.72,2
133,693.92,0.23,2.01,0.0,1.28,697.39,1
134,859.17,0.24,2.35,0.0,1.11,1009.52,4
135,781.67,0.45,0.92,0.0,1.19,359.57,3
136,901.99,0.36,2.07,0.0,1.23,933.56,0
137,651.75,0.36,1.69,0.0,1.1,550.73,2
138,884.63,0.26,2.02,0.0,1.19,893.48,1
139,849.79,0.44,1.56,0.0,1.33,662.84,2
140,812.65,0.41,2.05,0.0,1.31,832.97,0
141,658.12,0.37,3.05,0.0,1.19,1003.63,1
142,774.82,0.41,1.44,0.0,1.16,557.87,0
143,645.33,0.28,2.09,0.0,1.2,674.37,1
144,591.73,0.35,2.49,0.0,1.09,736.7,1
145,1127.97,0.11,2.06,0.0,1.22,1161.81,1
146,897.09,0.13,1.95,0.0,1.35,874.66,5
147,979.26,0.32,1.63,0.0,1.16,798.1,4
148,757.1,0.46,1.51,0.0,1.26,571.61,1
149,869.62,0.43,1.52,0.0,1.22,660.91,1
150,869.74,0.29,1.85,0.0,1.09,804.51,2
151,860.15,0.3,2.64,0.0,1.22,1135.4,3
152,800.37,0.17,2.12,0.0,1.31,848.39,4
153,777.18,0.44,1.8,0.0,1.16,699.46,2
154,593.04,0.16,2.0,0.0,1.05,593.04,5
155,861.01,0.39,2.35,0.0,1.22,1011.69,3
156,842.35,0.26,1.3,0.0,1.35,547.53,0
157,911.79,0.12,2.44,0.0,1.06,1112.38,1
158,772.58,0.21,2.96,0.0,1.21,1143.42,5
159,974.18,0.25,2.52,0.0,1.13,1227.47,4
160,755.25,0.37,2.94,0.0,1.18,1110.22,5
161,674.46,0.31,1.36,0.0,1.25,458.63,1
162,893.82,0.28,1.95,0.0,1.37,871.47,4
163,753.17,0.29,1.85,0.0,1.23,696.68,4
164,674.53,0.18,2.2,0.0,1.2,741.98,2
165,812.48,0.12,1.9,0.0,1.16,771.86,2
166,875.65,0.29,2.16,0.0,1.2,945.7,0
167,824.14,0.37,2.35,0.0,1.19,968.36,1
168,849.74,0.48,2.44,0.0,1.07,1036.68,5
169,1210.87,0.2,2.11,0.0,1.15,1277.47,3
170,882.11,0.35,1.92,0.0,1.31,846.83,4
171,953.18,0.33,2.54,0.0,1.37,1210.54,1
172,601.42,0.34,3.29,0.0,1.13,989.34,1
173,836.51,0.35,2.21,0.0,1.14,924.34,3
174,877.41,0.27,2.02,0.0,1.12,886.18,3
175,763.55,0.23,2.12,0.0,1.32,809.36,2
176,712.4,0.41,2.88,0.0,1.4,1025.86,2
177,839.65,0.16,1.96,0.0,1.21,822.86,2
178,768.54,0.35,2.02,0.0,1.13,776.23,4
179,740.62,0.2,2.24,0.0,1.18,829.49,0
180,914.95,0.49,1.9,0.0,1.14,869.2,2
181,933.56,0.38,1.86,0.0,1.1,868.21,1
182,830.26,0.44,2.57,0.0,1.19,1066.88,1
183,754.58,0.14,1.99,0.0,1.25,750.81,0
184,851.44,0.29,2.01,0.0,1.29,855.7,4
185,882.95,0.25,1.69,0.0,1.25,746.09,4
186,863.06,0.2,1.83,0.0,1.18,789.7,4
187,654.66,0.32,2.64,0.0,1.11,864.15,4
188,766.2,0.42,1.96,0.0,1.01,750.88,4
189,835.91,0.35,1.75,0.0,1.17,731.42,0
190,862.22,0.22,2.18,0.0,1.22,939.82,3
191,896.08,0.17,2.73,0.0,1.17,1223.15,5
192,875.84,0.21,2.2,0.0,1.04,963.42,5
193,686.57,0.18,2.05,0.0,1.18,703.73,0
194,729.26,0.29,2.27,0.0,1.14,827.71,0
195,677.86,0.44,1.48,0.0,1.19,501.62,5
196,980.45,0.32,1.74,0.0,1.17,852.99,2
197,818.04,0.19,1.36,0.0,1.11,556.27,2
198,855.32,0.12,1.86,0.0,1.14,795.45,3
199,903.3,0.32,2.46,0.0,1.24,1111.06,1
200,767.1,0.36,2.46,0.0,1.2,943.53,5
201,684.9,0.34,1.87,0.0,1.29,640.38,3
202,757.35,0.35,2.07,0.0,1.05,783.86,4
203,785.19,0.22,1.69,0.0,1.08,663.49,0
204,950.14,0.1,2.35,0.0,0.92,1116.41,2
205,886.96,0.4,1.32,0.0,1.14,585.39,4
206,691.29,0.46,1.95,0.0,1.21,674.01,3
207,866.42,0.46,2.11,0.0,1.24,914.07,5
208,873.49,0.42,2.34,0.0,1.1,1021.98,3
209,693.86,0.24,1.85,0.0,1.17,641.82,0
210,789.15,0.2,2.77,0.0,1.31,1092.97,1
211,614.96,0.1,1.59,0.0,1.35,488.89,2
212,833.05,0.43,1.14,0.0,1.23,474.84,0
213,768.43,0.46,1.98,0.0,1.16,760.75,3
214,665.0,0.29,2.23,0.0,1.2,741.48,4
215,730.18,0.14,2.55,0.0,1.21,930.98,1
216,824.0,0.17,2.38,0.0,1.3,980.56,0
217,744.71,0.21,1.69,0.0,1.23,629.28,0
218,829.95,0.2,2.52,0.0,1.24,1045.74,2
219,855.27,0.38,1.95,0.0,1.17,833.89,4
220,715.96,0.14,1.33,0.0,0.95,476.11,2
221,768.77,0.44,0.94,0.0,1.24,361.32,0
222,1014.47,0.18,2.81,0.0,1.22,1425.33,2
223,812.11,0.15,2.07,0.0,1.15,840.53,0
224,715.32,0.15,1.81,0.7,1.23,647.36,4
225,806.05,0.29,0.94,1.69,1.13,378.84,1
226,666.14,0.43,2.24,1.5,1.05,746.08,2
227,913.27,0.13,1.18,1.54,1.15,538.83,4
228,837.03,0.13,1.35,1.88,1.29,565.0,5
229,908.58,0.19,1.69,1.77,1.3,767.75,3
230,890.22,0.27,1.18,3.21,1.13,525.23,5
231,839.03,0.27,2.46,4.18,1.33,1032.01,5
232,897.55,0.48,2.21,5.75,1.45,991.79,0
233,819.16,0.22,2.81,5.38,1.22,1150.92,5
234,733.78,0.33,2.82,4.96,1.19,1034.63,5
235,697.65,0.36,2.48,4.17,1.07,865.09,5
236,755.18,0.41,2.33,3.15,1.33,879.78,1
237,549.45,0.32,2.38,3.45,1.15,653.85,4
238,982.6,0.22,3.58,4.79,1.16,1758.85,1
239,628.59,0.38,2.32,5.47,1.28,729.16,3
240,792.34,0.42,1.87,5.79,1.22,740.84,3
241,668.24,0.24,1.55,5.2,1.27,517.89,5
242,597.44,0.3,2.51,6.41,1.09,749.79,3
243,791.78,0.2,2.22,5.19,1.13,878.88,0
244,769.53,0.24,1.29,6.88,1.23,496.35,1
245,784.03,0.17,2.12,8.35,1.11,831.07,1
246,854.89,0.5,1.96,7.44,1.34,837.79,0
247,738.16,0.41,2.43,6.61,1.28,896.86,0
248,837.88,0.16,2.18,6.65,1.19,913.29,4
249,851.33,0.35,0.89,4.79,1.23,378.84,4
250,766.52,0.31,1.74,4.19,1.1,666.87,1
251,771.65,0.12,1.59,3.76,1.06,613.46,1
252,853.84,0.44,1.52,3.47,1.12,648.92,2
253,805.73,0.44,1.1,3.42,1.33,443.15,4
254,815.91,0.32,1.68,1.44,1.09,685.36,0
255,562.56,0.23,1.36,0.83,1.13,382.54,4
256,805.85,0.27,1.76,0.0,1.31,709.15,4
257,837.65,0.44,1.31,0.0,1.12,548.66,3
258,786.45,0.21,1.52,0.6,1.11,597.7,5
259,833.59,0.4,2.81,1.48,1.15,1171.19,0
260,990.44,0.16,1.2,1.72,1.32,594.26,0
261,808.54,0.48,1.57,0.45,1.33,634.7,4
262,866.53,0.22,1.65,1.62,1.24,714.89,0
263,715.0,0.16,2.14,1.85,1.29,765.05,1
264,714.77,0.34,1.61,1.58,1.13,575.39,2
265,752.0,0.1,0.97,1.71,1.09,364.72,3
266,698.04,0.5,1.62,2.3,1.09,565.41,2
267,799.24,0.37,1.62,2.77,1.15,647.38,5
268,706.62,0.46,2.38,3.23,1.13,840.88,4
269,782.5,0.36,1.85,3.25,1.5,723.81,4
270,656.29,0.13,2.46,2.71,1.29,807.24,2
271,634.78,0.31,1.32,3.25,1.44,418.95,0
272,732.43,0.49,2.03,2.02,1.23,743.42,1
273,693.29,0.43,2.13,2.36,1.28,738.35,2
274,734.71,0.2,1.95,3.79,1.26,716.34,0
275,738.79,0.48,1.77,4.54,1.15,653.83,4
276,764.87,0.12,2.19,2.55,1.05,837.53,2
277,904.55,0.26,1.3,3.87,1.27,587.96,3
278,936.9,0.46,1.72,3.73,0.89,805.73,0
279,872.54,0.14,1.18,3.2,1.1,514.8,0
280,764.05,0.26,1.94,2.93,1.36,741.13,4
281,949.7,0.39,1.74,3.22,1.2,826.24,5
282,646.89,0.45,1.96,3.02,1.3,633.95,0
283,597.66,0.49,1.39,4.39,1.18,415.37,4
284,826.8,0.23,2.13,4.84,1.19,880.54,0
285,799.78,0.23,1.93,5.18,1.2,771.79,5
286,786.07,0.12,2.04,3.62,1.2,801.79,2
287,803.26,0.2,2.38,5.71,1.15,955.88,1
288,635.94,0.38,3.07,5.75,1.18,976.17,4
289,684.33,0.4,1.85,6.03,1.07,633.01,5
290,923.4,0.34,1.66,6.65,1.21,766.42,4
291,902.82,0.11,1.89,7.21,1.25,853.16,4
292,727.81,0.18,1.96,7.0,1.15,713.25,2
293,993.32,0.41,1.88,6.29,1.21,933.72,4
294,692.92,0.38,2.75,7.3,1.0,952.76,0
295,742.86,0.15,0.74,6.19,1.28,274.86,4
296,829.24,0.15,1.19,5.05,1.03,493.4,0
297,680.5,0.15,1.68,5.2,1.16,571.62,1
298,751.21,0.25,2.28,3.7,1.35,856.38,3
299,782.69,0.13,2.64,4.33,1.22,1033.15,2
300,760.47,0.3,2.54,4.21,1.24,965.8,3
301,887.08,0.24,2.45,2.92,1.31,1086.67,4
302,859.28,0.35,2.83,1.37,1.2,1215.88,2
303,690.07,0.41,1.71,2.35,1.21,590.01,2
304,731.85,0.35,2.59,0.46,1.09,947.75,0
305,818.01,0.45,1.19,0.0,0.99,486.72,3
306,793.31,0.37,1.78,0.0,1.24,706.05,0
307,721.23,0.21,2.22,0.0,1.28,800.57,1
308,842.48,0.49,1.15,0.0,1.27,484.43,0
309,881.99,0.32,1.34,1.78,1.14,590.93,5
310,736.89,0.12,1.46,0.33,1.33,537.93,2
311,878.91,0.15,2.13,0.0,1.19,936.04,4
312,637.83,0.48,2.11,0.35,1.16,672.91,0
313,638.95,0.34,1.85,1.12,1.01,591.03,4
314,849.99,0.29,1.98,0.52,1.25,841.49,1
315,716.55,0.25,3.26,2.82,1.41,1167.98,1
316,700.3,0.46,2.19,2.27,1.18,766.83,1
317,773.66,0.29,2.43,0.0,1.17,940.0,4
318,732.26,0.39,1.84,0.56,1.31,673.68,4
319,832.71,0.42,2.62,0.93,1.25,1090.85,0
320,654.46,0.39,2.69,3.26,1.23,880.25,4
321,762.85,0.32,2.1,3.49,1.36,800.99,2
322,1116.1,0.37,2.05,2.34,1.13,1144.0,4
323,811.0,0.15,2.24,2.27,1.25,908.32,1
324,608.65,0.31,1.94,2.83,1.43,590.39,3
325,859.98,0.34,2.5,3.17,1.34,1074.97,4
326,854.94,0.33,0.77,1.65,1.3,329.15,2
327,938.38,0.11,2.44,2.5,1.23,1144.82,5
328,814.83,0.47,1.2,1.66,1.19,488.9,5
329,734.65,0.14,1.87,1.58,1.34,686.9,1
330,940.88,0.44,2.45,0.25,1.08,1152.58,1
331,871.21,0.24,3.35,2.36,1.12,1459.28,2
332,619.93,0.26,1.67,1.43,1.3,517.64,0
333,874.76,0.11,2.56,1.54,1.05,1119.69,3
334,776.71,0.41,2.52,1.71,1.1,978.65,0
335,911.06,0.15,0.84,1.89,1.08,382.65,1
336,762.67,0.12,1.28,1.75,1.14,488.11,0
337,878.61,0.28,1.74,1.55,1.23,764.39,4
338,819.42,0.32,1.52,0.97,1.16,622.76,4
339,858.62,0.25,1.92,1.03,1.11,824.28,0
340,797.96,0.13,2.14,0.09,1.14,853.82,4
341,758.56,0.37,1.64,2.23,1.3,622.02,2
342,806.73,0.37,1.34,2.08,1.16,540.51,1
343,863.18,0.31,1.76,3.65,1.22,759.6,4
344,841.76,0.29,0.7,1.83,1.24,294.62,0
345,961.52,0.14,1.91,1.56,1.08,918.25,1
346,842.56,0.49,2.06,1.5,1.33,867.84,3
347,863.54,0.21,2.43,2.97,1.21,1049.2,0
348,1010.22,0.32,1.73,1.49,1.17,873.84,2
349,806.61,0.26,1.72,2.36,1.12,693.68,3
350,853.56,0.22,1.68,1.45,1.11,716.99,1
351,739.69,0.45,2.44,1.16,1.11,902.42,0
352,804.2,0.3,2.38,1.99,1.28,957.0,1
353,964.19,0.41,1.88,1.83,1.27,906.34,2
354,831.17,0.34,1.58,2.94,1.21,656.62,1
355,945.12,0.44,1.01,2.75,1.26,477.29,1
356,693.51,0.2,2.44,1.1,1.07,846.08,3
357,659.92,0.25,2.65,0.0,1.13,874.39,5
358,830.75,0.43,1.81,0.0,1.18,751.83,4
359,663.04,0.2,2.09,0.0,1.24,692.88,1
360,1067.03,0.15,2.07,0.0,1.19,1104.38,1
361,924.85,0.1,2.15,0.0,1.32,994.21,5
362,675.43,0.16,2.17,0.0,1.26,732.84,4
363,783.28,0.32,2.44,0.0,1.01,955.6,3
364,742.34,0.26,2.21,0.0,1.21,820.29,5
365,841.6,0.43,2.98,0.0,1.09,1253.98,4
366,794.22,0.1,2.25,0.0,1.2,893.5,2
367,893.19,0.44,2.42,0.0,1.18,1080.76,1
368,946.83,0.21,1.83,0.0,1.28,866.35,5
369,777.87,0.22,1.27,0.0,1.3,493.95,4
370,682.68,0.42,2.84,0.0,1.23,969.41,2
371,856.27,0.37,2.19,0.0,1.16,937.62,0
372,783.55,0.23,1.59,0.0,1.05,622.92,1
373,914.49,0.31,1.3,0.0,1.04,594.42,1
374,784.79,0.23,2.2,0.0,1.06,863.27,5
375,882.98,0.26,1.57,0.0,1.24,693.14,4
376,833.61,0.19,2.62,0.0,1.4,1092.03,4
377,781.1,0.22,1.3,0.0,1.32,507.72,5
378,755.07,0.2,2.37,0.0,1.4,894.76,4
379,871.35,0.44,3.2,0.0,1.4,1394.16,2
380,1052.97,0.13,1.81,0.0,1.1,952.94,3
381,883.76,0.49,1.33,0.0,1.22,587.7,0
382,786.83,0.31,1.96,0.0,1.07,771.09,3
383,870.76,0.14,2.69,0.0,1.23,1171.17,0
384,811.41,0.19,1.83,0.0,1.2,742.44,2
385,671.91,0.4,2.64,0.0,1.08,886.92,0
386,830.98,0.13,1.8,0.0,1.13,747.88,1
387,954.83,0.35,1.51,0.0,1.19,720.9,1
388,768.42,0.43,2.52,0.0,1.16,968.21,0
389,687.41,0.36,2.47,0.0,1.36,848.95,5
390,848.85,0.42,1.98,0.0,1.12,840.36,2
391,983.09,0.4,2.67,0.0,1.24,1312.43,1
392,894.02,0.36,2.22,0.0,1.22,992.36,1
393,901.87,0.14,2.27,0.0,1.28,1023.62,2
394,1030.24,0.34,2.59,0.0,1.11,1334.16,5
395,962.11,0.49,2.64,0.0,1.24,1269.99,2
396,871.27,0.16,2.59,0.0,1.06,1128.29,4
397,779.13,0.49,1.65,0.0,1.15,642.78,5
398,813.76,0.13,1.32,0.0,1.23,537.08,1
399,789.66,0.37,1.75,0.0,1.15,690.95,0
400,884.84,0.46,1.4,0.0,1.31,619.39,5
401,711.69,0.38,2.72,0.0,1.04,967.9,1
402,954.54,0.36,2.53,0.0,1.12,1207.49,2
403,814.58,0.26,0.93,0.0,1.09,378.78,3
404,759.99,0.16,2.19,0.0,1.33,832.19,0
405,881.52,0.27,1.79,0.0,1.01,788.96,1
406,592.51,0.11,2.51,0.0,1.2,743.6,5
407,716.56,0.13,1.9,0.0,1.13,680.73,5
408,734.23,0.28,2.27,0.0,1.13,833.35,3
409,882.06,0.35,1.54,0.0,1.28,679.19,5
410,751.08,0.43,2.48,0.0,1.24,931.34,2
411,942.5,0.43,2.66,0.0,1.13,1253.53,2
412,755.31,0.35,1.61,0.0,1.34,608.02,0
413,852.11,0.28,2.29,0.0,1.23,975.67,1
414,729.18,0.47,2.73,0.0,1.08,995.33,3
415,915.55,0.43,2.04,0.0,1.37,933.86,1
416,774.55,0.44,3.38,0.0,1.24,1308.99,1
417,851.89,0.15,1.39,0.0,1.39,592.06,4
418,750.7,0.42,2.68,0.0,1.12,1005.94,0
419,691.35,0.42,1.69,0.0,1.17,584.19,1
420,776.91,0.48,2.5,0.0,1.36,971.14,0
421,909.8,0.27,2.74,0.0,1.2,1246.43,1
422,698.21,0.2,2.42,0.0,1.06,844.83,0
423,647.06,0.38,3.02,0.0,1.24,977.06,2
424,769.2,0.28,2.28,0.0,1.36,876.89,3
425,878.08,0.45,2.53,0.0,1.04,1110.77,3
426,694.42,0.15,1.7,0.0,1.18,590.26,0
427,745.61,0.16,1.75,0.0,1.14,652.41,3
428,818.43,0.27,1.9,0.0,1.5,777.51,1
429,766.93,0.34,1.97,0.0,1.27,755.43,4
430,828.72,0.47,2.66,0.0,1.12,1102.2,4
431,918.95,0.26,1.52,0.0,1.2,698.4,0
432,802.12,0.21,2.34,0.0,1.16,938.48,5
433,793.46,0.25,1.8,0.0,1.05,714.11,1
434,876.61,0.47,1.96,0.0,1.45,859.08,3
435,793.84,0.46,1.46,0.0,1.25,579.5,4
436,704.71,0.25,1.79,0.83,1.16,630.72,5
437,698.55,0.4,2.37,0.1,1.27,827.78,4
438,688.47,0.41,2.07,0.0,1.18,712.57,0
439,991.26,0.28,1.45,0.0,1.19,718.66,4
440,795.47,0.4,2.7,0.0,1.07,1073.88,4
441,857.69,0.32,2.47,0.0,1.07,1059.25,3
442,871.78,0.29,1.86,0.0,1.2,810.76,0
443,706.1,0.42,2.98,0.0,1.17,1052.09,4
444,862.88,0.15,1.66,0.0,1.22,716.19,1
445,743.55,0.33,0.64,0.0,1.1,237.94,2
446,591.22,0.33,1.73,0.0,1.28,511.41,1
447,778.49,0.31,1.05,0.0,1.25,408.71,5
448,692.5,0.25,1.59,0.0,1.25,550.54,0
449,766.2,0.49,1.99,0.0,1.23,762.37,5
450,834.32,0.24,2.12,0.0,1.2,884.38,3
451,1028.25,0.23,1.77,0.0,1.1,910.0,5
452,750.42,0.22,2.66,0.0,1.13,998.06,3
453,783.6,0.37,3.02,0.0,1.23,1183.24,2
454,837.16,0.12,1.42,0.0,1.25,594.38,0
455,818.65,0.31,1.58,0.0,1.21,646.73,4
456,784.16,0.48,2.44,0.0,1.28,956.68,1
457,691.71,0.35,0.72,0.0,1.21,249.02,0
458,704.34,0.21,1.91,0.0,1.28,672.64,5
459,781.66,0.48,1.42,0.0,1.07,554.98,0
460,684.02,0.16,1.13,0.0,1.14,386.47,0
461,734.22,0.36,1.54,0.0,1.33,565.35,3
462,674.86,0.19,1.51,0.0,1.09,509.52,3
463,912.45,0.2,2.05,0.0,1.0,935.26,5
464,650.22,0.22,1.46,0.0,1.26,474.66,0
465,990.2,0.48,1.3,0.0,1.24,643.63,1
466,741.96,0.14,2.39,0.0,1.09,886.64,4
467,694.51,0.44,1.61,0.0,1.18,559.08,0
468,681.72,0.3,2.26,0.0,1.16,770.34,2
469,877.95,0.38,1.96,0.0,1.12,860.39,3
470,902.66,0.36,1.11,0.0,1.26,500.98,0
471,715.13,0.21,1.58,0.0,1.16,564.95,0
472,833.15,0.15,1.25,0.0,1.22,520.72,0
473,785.04,0.26,1.96,0.0,1.16,769.34,2
474,775.76,0.16,1.77,0.0,1.13,686.55,3
475,815.12,0.29,1.95,0.0,1.26,794.74,1
476,876.51,0.39,2.22,0.0,1.28,972.93,5
477,608.34,0.3,1.22,0.0,1.21,371.09,5
478,577.27,0.45,1.41,0.0,1.28,406.98,4
479,820.67,0.13,2.11,0.0,1.32,865.81,3
480,792.91,0.22,1.42,0.0,1.36,562.97,0
481,868.48,0.23,1.62,0.0,1.29,703.47,5
482,629.25,0.25,3.08,0.0,1.2,969.04,2
483,701.34,0.34,2.39,0.0,1.16,838.1,5
484,954.35,0.35,2.47,0.0,1.31,1178.62,5
485,668.97,0.15,2.21,0.0,1.14,739.21,1
486,836.34,0.46,1.9,0.0,0.97,794.52,1
487,720.51,0.33,2.64,0.0,1.19,951.07,3
488,759.47,0.31,2.04,0.0,1.41,774.66,0
489,662.22,0.47,2.23,0.0,1.27,738.38,4
490,918.6,0.12,2.39,0.0,1.19,1097.73,2
491,609.62,0.47,1.51,0.0,1.24,460.26,0
