conveyorID,belt_speed [m/s],load_weight [kg],motor_current [A],belt_tension [N],belt_alignment_offset [mm],pulley_rotation_speed [RPM],ambient_temperature [°C],failure_type
43,1.37,150.77,13.02,275.38,0.58,82.2,26.78,4
44,1.5,135.94,12.72,267.97,0.4,90.0,23.81,4
45,1.49,378.39,17.57,389.2,1.37,89.4,26.45,3
46,1.58,200.23,14.0,300.12,-0.27,94.8,24.9,1
47,1.47,163.53,13.27,281.76,0.19,88.2,25.64,1
48,1.62,138.59,12.77,269.3,-0.08,97.2,22.26,4
49,1.48,350.9,17.02,375.45,0.35,88.8,24.59,3
50,1.58,485.17,19.7,442.58,0.2,94.8,26.24,4
51,1.58,259.13,15.18,329.56,-0.34,94.8,23.34,4
52,1.32,377.72,17.55,388.86,0.36,79.2,26.42,0
53,1.5,494.2,19.88,447.1,-0.1,90.0,23.51,4
54,1.5,240.97,14.82,320.48,0.89,90.0,24.84,0
55,1.42,455.75,19.12,427.88,-0.17,85.2,27.14,4
56,1.52,355.59,17.11,377.79,-1.16,91.2,27.83,3
57,1.35,355.94,17.12,377.97,-0.26,81.0,26.09,5
58,1.56,105.23,12.1,252.62,-0.21,93.6,29.4,5
59,1.55,493.76,19.88,446.88,-0.04,93.0,26.05,0
60,1.53,274.17,15.48,337.08,-0.55,91.8,23.43,2
61,1.75,222.62,14.45,311.31,-0.02,105.0,23.16,2
62,1.54,332.81,16.66,366.4,0.12,92.4,23.35,2
63,1.51,407.13,18.14,403.56,0.71,90.6,28.86,1
64,1.43,343.27,16.87,371.64,-0.33,85.8,24.64,1
65,1.53,337.71,16.75,368.86,0.61,91.8,25.43,4
66,1.4,392.02,17.84,396.01,-0.2,84.0,25.19,1
67,1.63,331.87,16.64,365.94,-0.28,97.8,23.07,1
68,1.44,459.72,19.19,429.86,-0.03,86.4,25.27,3
69,1.52,257.29,15.15,328.64,-0.3,91.2,27.28,5
70,1.7,215.54,14.31,307.77,-0.42,102.0,26.84,1
71,1.62,171.07,13.42,285.53,-0.44,97.2,25.95,4
72,1.52,323.57,16.47,361.78,0.43,91.2,24.75,0
73,1.64,192.8,13.86,296.4,0.16,98.4,25.95,5
74,1.49,231.93,14.64,315.97,-0.94,89.4,24.2,1
75,1.58,457.77,19.16,428.88,-0.5,94.8,26.21,1
76,1.5,225.04,14.5,312.52,0.64,90.0,25.13,1
77,1.41,131.74,12.63,265.87,0.34,84.6,22.02,4
78,1.54,456.6,19.13,428.3,0.05,92.4,25.34,1
79,1.59,134.88,12.7,267.44,-0.07,95.4,25.42,1
80,1.47,221.21,14.42,310.6,-0.28,88.2,27.39,1
81,1.39,339.19,16.78,369.6,-0.36,83.4,25.67,0
82,1.45,268.12,15.36,334.06,-1.01,87.0,26.05,0
83,1.26,151.24,13.02,275.62,0.3,75.6,27.23,4
84,1.44,234.99,14.7,317.5,-0.36,86.4,26.82,2
85,1.39,225.66,14.51,312.83,-0.45,83.4,24.75,2
86,1.7,312.66,16.25,356.33,0.0,102.0,26.94,0
87,1.44,239.42,14.79,319.71,0.72,86.4,24.02,0
88,1.35,206.97,14.14,303.48,0.08,81.0,25.18,0
89,1.59,140.02,12.8,270.01,-0.42,95.4,23.72,1
90,1.48,303.35,16.07,351.68,-0.17,88.8,23.42,4
91,1.5,451.25,19.02,425.62,0.09,90.0,28.73,1
92,1.52,161.98,13.24,280.99,-0.66,91.2,26.62,1
93,1.52,313.88,16.28,356.94,-0.03,91.2,27.71,3
94,1.46,214.16,14.28,307.08,-0.25,87.6,28.22,2
95,1.6,252.02,15.04,326.01,0.68,96.0,27.25,0
96,1.55,335.67,16.71,367.84,0.33,93.0,26.75,4
97,1.45,442.43,18.85,421.22,0.43,87.0,26.85,2
98,1.48,331.17,16.62,365.58,-0.5,88.8,22.34,5
99,1.41,322.07,16.44,361.04,1.24,84.6,24.97,3
100,1.53,487.42,19.75,443.71,-0.11,91.8,24.72,3
101,1.57,485.7,19.71,442.85,0.2,94.2,28.5,4
102,1.57,385.18,17.7,392.59,0.0,94.2,25.08,3
103,1.56,454.6,19.09,427.3,0.08,93.6,24.47,1
104,1.49,232.97,14.66,316.48,0.25,89.4,24.25,1
105,1.66,261.23,15.22,330.62,0.61,99.6,23.89,4
106,1.48,392.88,17.86,396.44,0.06,88.8,24.29,4
107,1.5,282.32,15.65,341.16,-1.05,90.0,23.47,4
108,1.47,411.26,18.23,405.63,0.06,88.2,24.93,3
109,1.51,259.53,15.19,329.76,-0.68,90.6,25.26,0
110,1.48,464.9,19.3,432.45,0.88,88.8,22.53,3
111,1.7,178.47,13.57,289.24,-0.44,102.0,20.8,2
112,1.54,107.4,12.15,253.7,0.44,92.4,20.78,3
113,1.33,197.48,13.95,298.74,0.71,79.8,28.36,1
114,1.46,460.41,19.21,430.21,-0.29,87.6,25.71,3
115,1.36,150.16,13.0,275.08,0.01,81.6,26.5,1
116,1.59,172.79,13.46,286.4,-0.07,95.4,26.26,1
117,1.64,122.65,12.45,261.32,0.76,98.4,25.45,5
118,1.45,498.68,19.97,449.34,0.25,87.0,24.79,2
119,1.56,379.65,17.59,389.82,-0.06,93.6,21.29,5
120,1.48,407.09,18.14,403.54,-0.45,88.8,27.79,3
121,1.54,150.59,13.01,275.3,-0.75,92.4,22.85,5
122,1.67,243.49,14.87,321.74,0.13,100.2,27.16,0
123,1.47,419.65,18.39,409.82,-0.15,88.2,28.33,1
124,1.38,216.26,14.33,308.13,0.06,82.8,23.67,2
125,1.57,362.5,17.25,381.25,-0.33,94.2,24.14,2
126,1.55,467.16,19.34,433.58,1.24,93.0,25.15,2
127,1.57,103.86,12.08,251.93,0.02,94.2,21.74,0
128,1.6,477.18,19.54,438.59,-0.22,96.0,26.27,5
129,1.43,410.43,18.21,405.22,-0.04,85.8,24.37,1
130,1.3,484.8,19.7,442.4,-0.29,78.0,24.57,0
131,1.6,368.27,17.37,384.14,0.38,96.0,25.47,5
132,1.46,170.95,13.42,285.48,0.27,87.6,23.35,0
133,1.38,380.07,17.6,390.04,-0.41,82.8,27.47,4
134,1.38,169.74,13.39,284.87,0.25,82.8,24.62,0
135,1.61,263.32,15.27,331.66,-0.28,96.6,26.94,0
136,1.52,496.61,19.93,448.3,-0.09,91.2,25.41,2
137,1.53,401.93,18.04,400.96,0.66,91.8,24.17,4
138,1.59,228.65,14.57,314.32,0.16,95.4,26.25,0
139,1.43,307.01,16.14,353.5,0.15,85.8,22.2,1
140,1.39,111.76,12.24,255.88,-0.66,83.4,24.12,2
141,1.41,182.17,13.64,291.08,-0.2,84.6,22.52,5
142,1.39,497.77,19.96,448.88,0.17,83.4,25.73,0
143,1.47,309.0,16.18,354.5,-0.53,88.2,23.28,1
144,1.41,237.68,14.75,318.84,0.09,84.6,26.77,3
145,1.5,304.22,16.08,352.11,-0.32,90.0,26.75,0
146,1.45,448.29,18.97,424.14,-0.8,87.0,25.82,0
147,1.49,226.16,14.52,313.08,0.38,89.4,28.57,1
148,1.56,485.84,19.72,442.92,0.77,93.6,26.01,4
149,1.64,411.41,18.23,405.71,-0.2,98.4,24.56,3
150,1.66,434.1,18.68,417.05,-0.95,99.6,24.94,2
151,1.51,188.8,13.78,294.4,-0.35,90.6,24.4,2
152,1.52,411.57,18.23,405.78,-0.34,91.2,24.31,5
153,1.45,491.43,19.83,445.72,0.28,87.0,22.57,4
154,1.6,373.97,17.48,386.98,-0.45,96.0,21.89,4
155,1.65,199.56,13.99,299.78,-1.16,99.0,23.18,5
156,1.44,217.62,14.35,308.81,0.71,86.4,25.58,4
157,1.58,298.46,15.97,349.23,0.1,94.8,25.03,1
158,1.47,458.59,19.17,429.29,-0.5,88.2,27.43,2
159,1.48,347.15,16.94,373.58,-0.22,88.8,20.68,1
160,1.52,397.97,17.96,398.98,0.28,91.2,25.1,4
161,1.46,393.57,17.87,396.78,0.01,87.6,23.49,5
162,1.59,292.81,15.86,346.4,0.31,95.4,21.3,3
163,1.35,125.81,12.52,262.9,0.35,81.0,22.97,3
164,1.43,181.95,13.64,290.98,-0.13,85.8,26.91,5
165,1.49,394.01,17.88,397.0,0.09,89.4,24.73,3
166,1.4,264.5,15.29,332.25,-0.22,84.0,24.94,3
167,1.54,178.1,13.56,289.05,-0.88,92.4,24.16,2
168,1.35,455.24,19.1,427.62,-0.05,81.0,27.64,3
169,1.51,325.83,16.52,362.92,0.12,90.6,27.04,0
170,1.36,236.37,14.73,318.18,-0.47,81.6,25.74,5
171,1.49,279.44,15.59,339.72,0.39,89.4,24.11,1
172,1.55,133.94,12.68,266.97,-1.0,93.0,27.0,2
173,1.72,470.83,19.42,435.42,-0.25,103.2,23.46,4
174,1.61,256.73,15.13,328.36,-0.35,96.6,23.81,5
175,1.66,174.32,13.49,287.16,-0.58,99.6,26.58,0
176,1.51,193.74,13.87,296.87,-0.34,90.6,24.67,1
177,1.71,137.74,12.75,268.87,-0.28,102.6,28.0,1
178,1.48,161.46,13.23,280.73,-0.62,88.8,24.58,4
179,1.47,297.95,15.96,348.98,0.63,88.2,24.14,0
180,1.37,119.41,12.39,259.7,-0.01,82.2,27.96,5
181,1.52,473.07,19.46,436.54,-0.48,91.2,27.36,3
182,1.61,291.23,15.82,345.62,1.21,96.6,23.22,1
183,1.44,244.11,14.88,322.06,-0.72,86.4,20.65,5
184,1.46,323.24,16.46,361.62,0.08,87.6,19.99,3
185,1.45,140.21,12.8,270.1,-0.09,87.0,22.89,3
186,1.47,341.62,16.83,370.81,0.28,88.2,24.65,0
187,1.44,401.05,18.02,400.52,0.02,86.4,26.27,5
188,1.36,256.1,15.12,328.05,0.28,81.6,22.59,0
189,1.64,169.32,13.39,284.66,0.07,98.4,25.91,0
190,1.3,314.75,16.3,357.38,-0.06,78.0,21.87,3
191,1.41,490.54,19.81,445.27,1.05,84.6,24.68,3
192,1.53,390.59,17.81,395.29,1.37,91.8,27.17,3
193,1.6,331.97,16.64,365.98,-0.27,96.0,25.57,5
194,1.48,192.52,13.85,296.26,-0.45,88.8,22.66,5
195,1.47,197.19,13.94,298.6,-0.66,88.2,28.41,3
196,1.5,294.68,15.89,347.34,0.19,90.0,27.33,4
197,1.47,428.05,18.56,414.02,0.17,88.2,24.34,5
198,1.59,254.11,15.08,327.06,-0.67,95.4,27.85,0
199,1.45,411.68,18.23,405.84,0.48,87.0,23.79,0
200,1.4,121.77,12.44,260.88,-0.28,84.0,29.03,1
201,1.45,153.59,13.07,276.8,-0.14,87.0,27.51,5
202,1.51,155.72,13.11,277.86,-0.42,90.6,24.56,0
203,1.62,306.7,16.13,353.35,-0.47,97.2,24.45,2
204,1.66,365.5,17.31,382.75,-0.04,99.6,25.82,0
205,1.46,225.31,14.51,312.65,-0.37,87.6,26.36,5
206,1.35,124.69,12.49,262.35,0.32,81.0,25.21,3
207,1.36,347.28,16.95,373.64,-0.02,81.6,23.13,4
208,1.71,149.59,12.99,274.8,-0.09,102.6,23.31,5
209,1.46,499.85,20.0,449.92,0.61,87.6,24.7,1
210,1.55,281.87,15.64,340.94,-0.22,93.0,27.51,1
211,1.69,431.68,18.63,415.84,0.51,101.4,23.73,2
212,1.43,111.81,12.24,255.9,0.74,85.8,25.02,3
213,1.48,316.12,16.32,358.06,-1.07,88.8,23.67,3
214,1.44,451.83,19.04,425.92,1.03,86.4,25.06,4
215,1.39,424.43,18.49,412.22,-0.23,83.4,25.75,5
216,1.58,229.53,14.59,314.76,-0.08,94.8,24.15,4
217,1.61,185.48,13.71,292.74,0.16,96.6,27.5,5
218,1.31,163.12,13.26,281.56,-0.56,78.6,23.8,3
219,1.6,374.38,17.49,387.19,0.41,96.0,22.88,5
220,1.48,216.52,14.33,308.26,-0.06,88.8,26.86,1
221,1.52,125.19,12.5,262.6,0.42,91.2,28.18,5
222,1.52,376.48,17.53,388.24,-0.37,91.2,23.91,1
223,1.37,248.77,14.98,324.38,0.55,82.2,26.98,1
224,1.47,180.43,13.61,290.22,0.6,88.2,23.28,1
225,1.4,470.09,19.4,435.04,-0.21,84.0,21.45,2
226,1.69,224.3,14.49,312.15,-0.38,101.4,28.9,3
227,1.72,432.83,18.66,416.42,-0.31,103.2,26.58,3
228,1.51,149.65,12.99,274.82,0.04,90.6,22.58,2
229,1.38,149.45,12.99,274.73,-0.18,82.8,22.26,5
230,1.62,116.87,12.34,258.44,1.26,97.2,28.26,4
231,1.48,385.05,17.7,392.52,0.73,88.8,21.91,0
232,1.67,463.41,19.27,431.71,1.05,100.2,23.04,3
233,1.7,302.5,16.05,351.25,-0.02,102.0,24.17,3
234,1.67,243.95,14.88,321.98,0.09,100.2,22.75,2
235,1.46,339.06,16.78,369.53,0.5,87.6,24.64,2
236,1.4,459.06,19.18,429.53,0.1,84.0,24.22,5
237,1.43,492.65,19.85,446.32,-0.55,85.8,25.76,0
238,1.49,101.53,12.03,250.76,1.02,89.4,24.63,1
239,1.41,358.91,17.18,379.46,-0.02,84.6,25.78,1
240,1.62,401.22,18.02,400.61,0.13,97.2,26.66,0
241,1.57,188.31,13.77,294.15,0.61,94.2,27.69,1
242,1.5,255.3,15.11,327.65,0.32,90.0,25.5,1
243,1.46,107.51,12.15,253.76,0.11,87.6,23.01,0
244,1.56,270.58,15.41,335.29,0.51,93.6,28.39,2
245,1.64,233.41,14.67,316.7,0.2,98.4,24.03,1
246,1.31,360.88,17.22,380.44,0.09,78.6,24.47,0
247,1.52,350.76,17.02,375.38,0.06,91.2,23.71,4
248,1.47,295.69,15.91,347.84,-0.28,88.2,23.45,3
249,1.43,222.45,14.45,311.23,-0.44,85.8,24.19,3
250,1.47,302.67,16.05,351.34,0.05,88.2,25.59,2
251,1.51,408.45,18.17,404.22,-0.4,90.6,23.98,1
252,1.69,261.57,15.23,330.78,0.06,101.4,21.63,2
253,1.51,349.24,16.98,374.62,-0.33,90.6,26.16,5
254,1.46,390.51,17.81,395.26,0.22,87.6,24.94,0
255,1.38,494.57,19.89,447.28,0.25,82.8,25.03,3
256,1.58,397.13,17.94,398.56,0.12,94.8,24.17,0
257,1.42,187.62,13.75,293.81,-0.25,85.2,25.95,2
258,1.49,111.98,12.24,255.99,-0.45,89.4,21.93,1
259,1.57,300.48,16.01,350.24,0.48,94.2,22.79,3
260,1.51,334.47,16.69,367.24,0.87,90.6,25.42,3
261,1.46,166.64,13.33,283.32,-0.26,87.6,24.12,0
262,1.48,204.97,14.1,302.48,0.38,88.8,23.28,5
263,1.59,157.02,13.14,278.51,-0.15,95.4,22.75,1
264,1.5,391.58,17.83,395.79,0.5,90.0,27.16,2
265,1.52,368.26,17.37,384.13,-0.28,91.2,26.27,0
266,1.54,468.88,19.38,434.44,0.21,92.4,26.89,4
267,1.47,258.56,15.17,329.28,-0.14,88.2,24.34,2
268,1.53,442.1,18.84,421.05,-0.37,91.8,25.51,3
269,1.47,319.12,16.38,359.56,0.42,88.2,24.45,4
270,1.61,453.86,19.08,426.93,0.37,96.6,26.14,1
271,1.55,346.01,16.92,373.0,0.66,93.0,25.7,3
272,1.33,275.4,15.51,337.7,0.67,79.8,23.94,0
273,1.48,185.59,13.71,292.8,0.37,88.8,23.68,0
274,1.61,494.36,19.89,447.18,-0.54,96.6,23.68,1
275,1.48,228.12,14.56,314.06,0.03,88.8,26.12,3
276,1.46,446.23,18.92,423.12,-0.32,87.6,23.49,5
277,1.6,434.74,18.69,417.37,0.69,96.0,24.98,0
278,1.39,373.47,17.47,386.74,-0.44,83.4,24.38,4
279,1.51,492.56,19.85,446.28,0.09,90.6,24.71,5
280,1.56,370.59,17.41,385.29,-0.11,93.6,27.16,0
281,1.59,372.76,17.46,386.38,0.29,95.4,25.29,1
282,1.4,102.26,12.05,251.13,0.55,84.0,27.2,1
283,1.38,308.58,16.17,354.29,1.15,82.8,26.69,0
284,1.65,467.52,19.35,433.76,0.02,99.0,24.09,3
285,1.42,161.28,13.23,280.64,0.64,85.2,23.17,4
286,1.49,179.57,13.59,289.78,1.21,89.4,22.64,2
287,1.74,486.4,19.73,443.2,0.19,104.4,22.76,4
288,1.45,338.78,16.78,369.39,0.23,87.0,27.34,3
289,1.28,235.66,14.71,317.83,-0.93,76.8,24.23,1
290,1.78,354.02,17.08,377.01,0.53,106.8,21.6,3
291,1.6,152.99,13.06,276.5,-0.82,96.0,25.39,3
292,1.54,319.04,16.38,359.52,0.22,92.4,28.37,1
293,1.78,380.78,17.62,390.39,0.68,106.8,22.27,2
294,1.49,182.42,13.65,291.21,0.95,89.4,24.27,1
295,1.64,360.15,17.2,380.08,-0.67,98.4,26.53,1
296,1.5,311.16,16.22,355.58,0.1,90.0,24.91,4
297,1.47,353.29,17.07,376.64,-0.01,88.2,27.33,4
298,1.56,312.81,16.26,356.4,0.28,93.6,29.95,1
299,1.59,285.77,15.72,342.88,0.24,95.4,25.51,4
300,1.63,472.42,19.45,436.21,0.15,97.8,23.85,1
301,1.62,467.01,19.34,433.5,-0.39,97.2,25.06,0
302,1.45,372.74,17.45,386.37,0.28,87.0,24.56,2
303,1.49,253.43,15.07,326.72,0.49,89.4,19.63,3
304,1.69,215.3,14.31,307.65,-0.03,101.4,24.81,2
305,1.56,372.4,17.45,386.2,0.6,93.6,26.85,5
306,1.51,164.13,13.28,282.06,-0.1,90.6,23.21,2
307,1.63,446.97,18.94,423.48,-0.53,97.8,23.83,2
308,1.64,293.83,15.88,346.92,-0.22,98.4,25.94,2
309,1.63,181.36,13.63,290.68,0.95,97.8,20.22,1
310,1.45,486.64,19.73,443.32,0.83,87.0,20.29,1
311,1.46,128.55,12.57,264.27,-0.41,87.6,24.59,4
312,1.58,479.94,19.6,439.97,-0.63,94.8,27.12,0
313,1.62,449.65,18.99,424.82,0.3,97.2,25.23,0
314,1.38,285.28,15.71,342.64,-0.18,82.8,24.96,5
315,1.45,404.84,18.1,402.42,0.29,87.0,24.07,3
316,1.48,326.06,16.52,363.03,0.44,88.8,28.97,2
317,1.6,106.11,12.12,253.06,-0.88,96.0,26.28,2
318,1.39,289.21,15.78,344.6,-1.01,83.4,24.51,0
319,1.77,274.86,15.5,337.43,1.48,106.2,25.98,3
320,1.51,305.55,16.11,352.78,-0.53,90.6,26.12,4
321,1.56,209.68,14.19,304.84,-0.19,93.6,24.43,0
322,1.72,192.43,13.85,296.22,0.45,103.2,26.13,0
323,1.56,459.9,19.2,429.95,-0.89,93.6,23.62,2
324,1.58,430.54,18.61,415.27,0.1,94.8,26.23,3
325,1.48,123.18,12.46,261.59,0.05,88.8,25.82,5
326,1.55,241.07,14.82,320.53,-0.44,93.0,25.77,4
327,1.4,155.89,13.12,277.94,0.6,84.0,28.16,1
328,1.49,351.82,17.04,375.91,-0.47,89.4,23.84,5
329,1.5,360.74,17.21,380.37,-0.39,90.0,24.72,1
330,1.4,197.24,13.94,298.62,-0.61,84.0,24.3,0
331,1.6,444.41,18.89,422.21,0.12,96.0,22.24,4
332,1.55,493.7,19.87,446.85,0.27,93.0,24.3,5
333,1.31,462.96,19.26,431.48,-0.26,78.6,27.55,4
334,1.58,131.41,12.63,265.7,0.46,94.8,28.24,1
335,1.41,220.72,14.41,310.36,-0.23,84.6,25.23,1
336,1.56,424.84,18.5,412.42,-1.1,93.6,24.03,4
337,1.42,170.49,13.41,285.24,0.85,85.2,25.29,4
338,1.47,256.95,15.14,328.48,0.32,88.2,25.61,1
339,1.54,234.32,14.69,317.16,0.04,92.4,23.95,3
340,1.69,467.27,19.35,433.64,-0.73,101.4,23.22,3
341,1.35,416.18,18.32,408.09,-0.98,81.0,27.11,5
342,1.47,460.83,19.22,430.42,0.09,88.2,26.25,2
343,1.47,144.9,12.9,272.45,0.4,88.2,22.53,3
344,1.61,171.6,13.43,285.8,-0.18,96.6,23.32,5
345,1.48,416.3,18.33,408.15,-0.05,88.8,24.05,0
346,1.54,293.41,15.87,346.71,-0.13,92.4,26.95,5
347,1.63,280.6,15.61,340.3,-0.96,97.8,23.43,0
348,1.58,308.84,16.18,354.42,-0.26,94.8,23.93,3
349,1.46,432.87,18.66,416.44,-1.07,87.6,23.62,5
350,1.46,401.78,18.04,400.89,0.21,87.6,25.14,5
351,1.47,313.88,16.28,356.94,0.04,88.2,23.57,3
352,1.52,327.1,16.54,363.55,1.03,91.2,26.89,3
353,1.42,100.83,12.02,250.42,0.72,85.2,26.05,0
354,1.5,223.64,14.47,311.82,-0.53,90.0,27.4,1
355,1.56,361.31,17.23,380.66,-0.03,93.6,22.39,5
356,1.45,439.26,18.79,419.63,-0.27,87.0,25.06,4
357,1.45,187.21,13.74,293.6,-0.29,87.0,28.95,2
358,1.53,143.55,12.87,271.77,-0.54,91.8,25.47,4
359,1.58,456.03,19.12,428.02,0.28,94.8,25.39,4
360,1.37,345.04,16.9,372.52,-0.57,82.2,29.14,0
361,1.4,303.17,16.06,351.58,-0.3,84.0,24.53,4
362,1.63,444.26,18.89,422.13,0.33,97.8,24.33,1
363,1.5,223.11,14.46,311.56,-0.4,90.0,22.3,2
364,1.39,318.11,16.36,359.06,0.13,83.4,27.1,0
365,1.51,212.88,14.26,306.44,0.59,90.6,21.82,0
366,1.66,240.36,14.81,320.18,-0.33,99.6,30.46,5
367,1.44,146.12,12.92,273.06,0.72,86.4,28.6,4
368,1.4,225.79,14.52,312.9,-0.69,84.0,26.83,4
369,1.48,118.21,12.36,259.1,1.05,88.8,19.69,5
370,1.66,354.71,17.09,377.36,0.69,99.6,24.44,1
371,1.43,217.23,14.34,308.62,-0.05,85.8,23.47,0
372,1.55,131.47,12.63,265.74,-0.02,93.0,27.62,4
373,1.6,201.7,14.03,300.85,0.44,96.0,24.71,0
374,1.56,279.75,15.6,339.88,0.26,93.6,26.11,2
375,1.47,342.89,16.86,371.44,-1.13,88.2,25.11,3
376,1.57,206.3,14.13,303.15,-0.08,94.2,24.42,2
377,1.52,219.11,14.38,309.56,-0.27,91.2,22.96,1
378,1.58,258.07,15.16,329.04,0.83,94.8,26.25,1
379,1.54,365.87,17.32,382.94,0.49,92.4,22.76,4
380,1.51,377.46,17.55,388.73,0.8,90.6,21.94,1
381,1.33,466.96,19.34,433.48,0.12,79.8,25.02,3
382,1.56,321.82,16.44,360.91,-0.03,93.6,25.27,2
383,1.49,302.78,16.06,351.39,-0.51,89.4,24.97,1
384,1.29,359.28,17.19,379.64,-0.39,77.4,26.8,4
385,1.5,465.0,19.3,432.5,0.02,90.0,27.33,0
386,1.53,169.22,13.38,284.61,-0.76,91.8,25.97,0
387,1.49,482.19,19.64,441.1,0.92,89.4,25.92,1
388,1.26,396.28,17.93,398.14,0.9,75.6,23.13,3
389,1.43,499.41,19.99,449.71,0.16,85.8,27.19,3
390,1.4,492.7,19.85,446.35,-0.04,84.0,22.3,0
391,1.47,491.21,19.82,445.6,-0.77,88.2,26.58,5
392,1.27,358.51,17.17,379.26,-0.53,76.2,22.55,3
393,1.53,468.84,19.38,434.42,-0.53,91.8,26.11,1
394,1.55,176.97,13.54,288.48,-0.68,93.0,25.73,5
395,1.56,113.23,12.26,256.62,0.33,93.6,24.18,1
396,1.49,211.93,14.24,305.97,-1.02,89.4,26.32,5
397,1.49,437.04,18.74,418.52,-0.42,89.4,24.45,4
398,1.6,143.06,12.86,271.53,0.44,96.0,26.1,2
399,1.55,486.47,19.73,443.24,-0.07,93.0,25.3,5
400,1.46,105.39,12.11,252.7,0.58,87.6,28.13,5
401,1.53,236.68,14.73,318.34,0.18,91.8,23.03,3
402,1.57,311.95,16.24,355.98,-0.08,94.2,26.38,5
403,1.62,188.33,13.77,294.17,-0.53,97.2,24.46,0
404,1.55,356.33,17.13,378.16,-0.34,93.0,24.08,3
405,1.42,392.51,17.85,396.26,0.23,85.2,24.08,3
406,1.45,475.18,19.5,437.59,0.58,87.0,24.33,4
407,1.52,465.49,19.31,432.74,-0.19,91.2,25.17,1
408,1.53,114.1,12.28,257.05,-0.05,91.8,24.53,5
409,1.6,416.11,18.32,408.06,-0.72,96.0,26.07,3
410,1.31,432.32,18.65,416.16,-0.2,78.6,28.17,4
411,1.43,488.55,19.77,444.28,0.6,85.8,24.14,3
412,1.39,366.72,17.33,383.36,-0.26,83.4,26.76,1
413,1.61,400.56,18.01,400.28,0.26,96.6,26.75,1
414,1.58,143.78,12.88,271.89,-0.26,94.8,28.09,1
415,1.53,443.71,18.87,421.86,-0.07,91.8,24.1,4
416,1.58,231.48,14.63,315.74,-0.19,94.8,25.51,5
417,1.44,424.74,18.49,412.37,-0.31,86.4,24.44,0
418,1.55,363.6,17.27,381.8,0.67,93.0,25.76,4
419,1.51,251.77,15.04,325.88,-0.18,90.6,22.7,3
420,1.51,324.1,16.48,362.05,-0.31,90.6,23.95,0
421,1.49,305.93,16.12,352.96,-0.49,89.4,26.1,0
422,1.6,315.0,16.3,357.5,0.51,96.0,27.19,5
423,1.61,149.31,12.99,274.65,0.03,96.6,24.84,1
424,1.36,418.67,18.37,409.34,-0.79,81.6,25.3,3
425,1.45,277.56,15.55,338.78,0.35,87.0,26.45,5
