machineID,injection_pressure [bar],melt_temperature [°C],clamping_force [ton],cycle_time [seconds],screw_speed [RPM],cooling_time [seconds],hydraulic_pressure [psi],failure_type
147,100.78,195.41,44.53,28.02,97.92,21.68,3429.43,2
148,106.18,183.89,48.34,34.32,117.5,18.55,3285.46,3
149,102.32,187.25,54.51,22.75,137.21,21.63,3196.35,2
150,106.83,215.35,52.08,25.3,125.65,18.42,3128.96,4
151,96.9,182.88,52.44,29.06,62.23,22.2,3016.58,0
152,75.65,213.79,53.5,28.69,147.11,21.79,3014.64,5
153,110.39,216.87,51.19,26.55,141.56,20.55,3115.3,0
154,121.87,202.5,49.12,31.32,82.78,22.25,2830.34,3
155,104.41,216.4,48.09,28.32,109.29,19.44,3099.35,5
156,99.0,207.7,49.2,34.28,104.49,19.62,2754.12,4
157,98.64,211.15,52.37,27.95,104.03,19.93,3266.4,1
158,98.81,207.78,54.34,29.52,98.02,19.96,2885.41,5
159,100.17,195.65,42.27,31.63,86.0,18.42,2927.74,2
160,88.78,205.34,42.15,26.78,113.95,16.82,2540.49,5
161,94.83,217.22,54.07,25.33,82.35,17.47,3159.58,2
162,90.03,200.78,50.35,36.22,95.2,22.42,3415.77,3
163,102.49,187.09,53.87,32.61,91.31,21.95,2613.09,2
164,97.03,192.27,56.26,32.0,59.41,21.2,3233.2,1
165,104.95,212.6,44.16,28.81,141.45,19.32,3044.87,2
166,98.25,201.93,56.2,36.73,55.19,20.55,2853.5,0
167,109.86,198.17,48.74,25.92,66.63,16.46,3045.42,2
168,102.14,201.5,52.5,32.5,120.79,18.27,2944.71,2
169,121.91,194.78,57.47,33.81,93.66,20.8,3247.88,0
170,81.04,188.42,52.4,27.02,116.98,23.05,2940.45,2
171,93.53,180.13,48.0,31.44,54.82,19.61,3126.54,4
172,109.01,181.79,50.95,27.58,104.51,17.74,3108.18,2
173,125.28,188.03,56.28,26.27,120.16,19.7,2992.5,3
174,97.51,181.23,50.66,26.65,125.33,19.6,3160.54,1
175,100.44,198.84,48.87,35.64,142.44,20.38,3007.79,0
176,97.74,217.98,48.24,29.08,122.32,21.46,3319.48,0
177,113.31,205.78,52.62,31.22,75.24,22.23,2769.79,4
178,97.13,181.16,43.99,22.52,86.2,19.46,3073.84,4
179,106.8,211.04,60.6,29.07,74.18,18.86,3187.98,4
180,96.8,200.11,46.11,30.92,118.72,20.62,2863.42,2
181,87.27,211.88,46.49,30.86,129.29,18.91,3061.45,2
182,103.14,200.25,53.13,33.59,88.6,20.95,3136.02,1
183,105.03,204.98,46.71,25.63,72.97,18.25,3171.69,3
184,112.93,190.49,51.98,36.93,100.96,20.41,2496.1,4
185,98.9,197.89,49.5,34.51,149.16,18.5,2920.58,1
186,93.83,180.51,58.16,31.88,93.92,17.05,2907.6,0
187,105.63,195.27,49.19,27.34,59.79,22.53,2660.82,5
188,102.41,205.17,47.85,25.2,142.24,17.48,2630.87,5
189,102.81,217.35,52.53,34.96,107.33,19.48,2921.29,4
190,99.27,186.83,41.12,29.41,106.7,20.74,3143.51,1
191,111.6,190.5,53.25,31.44,75.22,20.82,2945.6,2
192,103.69,206.99,52.43,32.16,129.71,18.33,2592.16,3
193,119.05,198.87,53.8,33.48,112.03,19.66,2519.53,4
194,111.11,207.08,51.8,25.93,50.41,20.2,3008.75,4
195,106.59,211.72,42.83,28.71,76.29,17.8,3100.85,2
196,83.73,205.27,50.64,27.91,119.92,19.02,2687.72,2
197,106.02,208.54,51.53,29.28,149.72,20.31,3274.32,5
198,104.2,217.88,50.8,27.75,61.37,19.33,3541.76,2
199,108.11,203.44,33.98,27.67,143.49,19.64,3059.8,2
200,110.44,197.61,47.66,27.4,57.54,16.29,2768.16,2
201,95.99,188.38,48.7,28.6,78.12,15.33,3157.61,4
202,108.24,215.94,54.45,25.83,71.88,23.43,2694.75,3
203,94.38,208.56,51.79,36.67,147.86,15.45,3069.77,0
204,119.55,203.2,51.64,30.26,75.93,20.7,3164.19,0
205,86.68,215.73,50.15,28.81,103.04,21.2,3147.14,4
206,82.39,196.81,52.49,27.36,104.35,21.07,2821.9,1
207,83.49,216.63,51.47,28.56,56.7,17.1,3208.16,2
208,91.09,200.05,46.35,24.51,64.87,17.27,2760.32,1
209,88.81,180.57,47.34,31.98,73.4,16.59,2811.15,3
210,119.56,217.82,49.48,28.06,132.77,24.35,2888.88,4
211,96.74,206.91,45.7,24.93,99.26,22.56,3304.35,2
212,86.57,194.82,51.03,29.98,89.61,21.07,2907.82,5
213,111.14,183.33,44.51,30.69,134.0,20.71,3304.96,3
214,94.13,184.9,46.22,31.38,81.95,19.71,3100.74,4
215,87.63,213.91,43.89,26.93,82.23,17.78,3028.5,0
216,108.76,209.11,49.71,29.37,61.16,18.55,3067.25,2
217,106.23,200.47,50.1,34.89,122.71,24.1,3040.87,0
218,95.65,212.93,53.44,31.18,131.07,17.5,3183.73,5
219,114.08,206.69,44.66,27.46,77.65,18.0,3243.41,1
220,101.29,215.52,55.03,34.49,141.1,17.56,2945.29,3
221,116.17,204.96,49.19,30.13,122.7,16.39,3006.8,5
222,105.03,193.52,51.89,27.66,94.74,22.84,2509.38,2
223,115.59,187.44,44.31,29.67,109.97,17.33,3016.58,1
224,101.09,218.45,44.17,34.31,61.17,20.5,2711.62,3
225,87.8,193.39,47.84,29.69,84.04,18.59,2952.29,0
226,124.49,198.68,43.84,30.95,61.45,19.62,2954.49,2
227,94.54,213.14,41.34,32.36,81.6,17.86,2791.57,2
228,98.01,217.0,64.22,29.79,63.35,20.18,3211.4,2
229,93.0,212.71,45.94,31.97,53.12,21.46,2594.84,2
230,97.97,199.31,54.63,27.36,67.18,19.36,3147.72,2
231,102.43,192.57,45.19,36.66,92.41,21.34,3108.87,1
232,102.02,205.66,50.03,28.15,62.46,15.66,3345.84,1
233,106.61,214.18,54.75,31.55,107.5,19.03,3057.91,5
234,117.92,203.26,55.21,26.37,87.82,22.1,3170.44,2
235,98.8,207.51,54.09,32.67,145.74,20.1,3197.59,0
236,87.67,215.04,49.04,24.46,122.72,18.61,2956.33,3
237,88.18,214.65,49.04,33.58,87.55,21.65,2735.82,3
238,93.34,184.65,49.22,32.58,76.49,20.39,2811.85,0
239,83.26,202.91,52.2,31.03,130.7,23.69,2704.83,1
240,108.25,193.53,51.41,27.93,90.54,21.23,3092.33,3
241,95.02,211.5,57.38,34.68,110.3,19.38,2761.15,5
242,96.89,199.67,43.42,25.49,136.73,20.71,2710.06,3
243,99.98,212.35,53.2,28.82,75.52,17.0,2777.7,4
244,86.03,203.09,59.74,34.53,111.12,19.92,2763.56,3
245,91.39,189.21,47.37,34.11,60.53,23.05,3207.85,2
246,106.75,207.09,56.7,29.78,97.08,18.46,2819.1,2
247,106.19,200.95,49.44,27.13,140.21,18.06,2992.83,4
248,95.57,211.39,61.43,26.24,60.74,16.8,3094.64,0
249,118.11,202.05,44.37,33.7,52.37,22.72,2710.63,1
250,86.94,191.63,50.29,29.12,140.45,18.38,2905.46,1
251,96.55,213.58,55.08,28.16,113.52,19.4,2994.33,1
252,97.69,193.02,45.41,32.27,62.18,21.84,3087.93,3
253,72.07,193.78,51.45,31.67,125.42,19.24,3133.1,4
254,119.38,215.85,46.87,29.93,110.55,18.35,2654.12,0
255,103.66,206.24,51.52,32.46,107.55,19.55,3069.4,1
256,89.55,217.46,42.95,29.74,78.85,19.26,3095.16,5
257,120.51,204.7,47.27,27.18,124.53,19.85,2975.16,5
258,105.86,210.07,50.01,29.7,130.22,21.82,2910.08,2
259,104.3,190.06,48.54,27.67,102.58,20.82,2770.47,1
260,93.93,189.17,45.09,31.15,102.13,20.31,3155.61,5
261,101.06,209.66,48.68,34.75,149.65,19.82,3093.33,0
262,84.74,217.94,56.98,26.92,58.18,21.65,2804.59,0
263,107.95,196.77,55.3,28.78,129.71,21.99,3152.09,0
264,96.26,194.45,46.87,33.64,62.69,20.99,2691.56,4
265,101.34,194.72,51.61,27.39,55.71,16.72,3543.69,5
266,112.02,209.53,49.02,28.71,74.34,19.73,3412.37,2
267,102.85,207.13,45.32,30.78,129.06,21.13,3372.36,4
268,102.62,201.13,45.65,28.97,50.27,22.12,3111.07,1
269,102.76,194.37,50.45,37.3,87.47,16.98,2707.19,2
270,92.67,186.95,56.63,33.03,124.5,22.1,3327.85,2
271,108.36,197.64,56.16,29.64,114.73,22.45,2947.32,2
272,115.43,212.37,41.69,31.97,129.14,21.94,3167.4,2
273,107.59,216.32,40.46,33.57,78.67,21.2,3450.03,0
274,108.85,186.34,49.23,30.58,53.49,17.8,3100.53,0
275,91.23,194.21,54.52,30.89,112.32,19.29,2679.01,2
276,91.32,215.68,55.45,29.51,109.7,20.3,3010.76,0
277,85.59,187.48,56.52,24.58,75.78,19.04,3254.84,1
278,112.32,193.75,48.66,29.84,119.42,19.35,2510.12,4
279,97.46,187.74,47.19,27.93,95.99,18.24,3062.38,4
280,114.0,206.71,57.89,28.84,112.78,16.83,3413.62,5
281,92.18,218.79,56.45,33.45,131.77,22.33,3189.64,1
282,95.62,193.22,49.15,31.73,95.12,20.76,2749.14,3
283,100.95,181.61,40.8,29.25,103.64,20.84,3003.6,2
284,109.21,201.39,45.34,31.24,67.89,23.76,2990.49,3
285,100.61,218.54,55.7,26.3,50.65,17.84,2827.47,0
286,102.11,212.12,42.85,32.89,72.03,20.82,2762.98,1
287,100.17,216.18,54.5,29.22,65.52,21.59,3199.36,2
288,101.77,198.39,45.61,27.78,135.56,20.13,3140.7,2
289,88.84,190.4,53.18,28.07,95.97,21.18,3455.52,4
290,100.81,190.65,52.81,32.13,78.95,20.6,3190.6,3
291,98.13,198.98,43.67,27.36,73.39,16.95,3202.86,4
292,99.43,188.62,52.79,32.93,135.11,21.34,3256.63,1
293,104.92,213.3,51.64,25.21,116.28,24.69,3353.35,0
294,93.19,186.59,43.79,28.73,51.75,19.47,3259.0,2
295,99.15,194.46,48.9,32.98,117.29,18.3,2851.1,4
296,97.03,215.84,53.73,28.77,62.4,19.39,3160.21,5
297,104.17,211.18,50.19,29.25,59.63,20.24,2860.81,1
298,107.85,213.82,54.92,31.53,114.92,19.95,3292.7,3
299,90.45,217.44,59.47,30.21,86.61,20.41,3150.92,4
300,105.86,215.02,55.54,28.49,89.75,20.05,2872.16,3
301,120.66,208.65,45.39,31.78,144.19,17.46,3052.86,0
302,85.29,198.4,43.21,31.04,122.13,18.69,2653.81,3
303,91.7,180.47,51.77,31.47,95.08,20.84,2937.39,3
304,91.19,217.24,55.66,31.53,73.42,20.9,2946.19,5
305,97.21,183.39,45.24,25.99,125.72,18.43,2798.3,2
306,116.23,217.38,50.33,32.2,73.23,17.66,2916.01,3
307,100.13,213.82,44.77,25.26,144.47,21.1,3050.72,1
308,93.05,218.47,50.3,28.38,79.1,22.24,3187.06,3
309,106.22,190.92,60.12,26.26,104.11,20.97,2799.63,4
310,94.0,199.41,46.95,30.99,120.23,20.58,3022.13,0
311,111.23,181.07,48.0,27.84,50.85,20.62,2866.67,1
312,103.05,191.27,39.9,32.49,82.16,21.81,2896.78,0
313,113.89,180.5,49.07,30.28,71.62,20.32,2808.7,0
314,93.39,212.68,49.12,33.25,91.43,19.03,3100.13,4
315,130.31,207.41,55.14,29.48,63.85,17.27,2808.58,2
316,108.25,213.82,43.39,29.43,89.82,20.0,3040.55,5
317,106.55,181.5,49.27,25.59,84.36,20.84,2941.86,4
318,99.49,188.46,49.56,31.56,115.99,18.31,3218.69,2
319,92.74,180.78,43.05,34.64,127.21,22.12,3357.87,5
320,91.32,186.93,60.16,25.18,87.84,24.59,2633.18,0
321,98.64,203.6,46.61,30.83,145.26,18.53,3001.79,2
322,92.03,180.29,46.23,33.11,61.53,19.54,3002.01,5
323,102.83,206.96,55.29,30.54,104.0,19.59,2822.16,5
324,91.74,213.24,55.09,27.36,140.61,18.27,3052.5,1
325,106.21,193.42,50.02,28.81,118.24,20.75,3151.67,5
326,109.56,202.82,50.18,35.24,71.17,17.45,3194.61,5
327,92.94,208.05,42.41,28.04,77.72,20.72,2993.8,0
328,111.93,215.75,48.46,31.14,90.47,21.44,2997.73,2
329,97.62,184.1,45.16,30.4,90.18,18.42,3085.88,3
330,111.55,215.85,46.17,31.69,72.38,19.15,3284.32,2
331,104.38,186.79,43.15,32.31,77.88,16.07,2912.04,1
332,111.22,216.33,44.21,28.72,91.51,22.05,3108.42,0
333,90.03,196.75,47.4,33.35,127.38,20.87,3023.68,0
334,98.93,201.77,48.03,26.98,140.9,18.58,2776.98,1
335,114.51,216.41,50.39,35.89,102.7,18.72,2902.77,0
336,93.82,192.66,52.42,32.69,52.78,20.88,3146.73,2
337,79.63,208.96,46.39,28.5,81.95,20.49,2508.73,1
338,80.57,196.65,41.33,30.3,117.35,22.05,2873.04,2
339,74.94,184.91,54.57,29.49,125.61,19.45,2902.04,2
340,78.86,195.77,52.71,27.48,128.46,17.57,2674.87,5
341,95.88,185.1,37.66,30.42,72.73,18.2,3375.45,0
342,112.79,189.84,49.92,33.42,74.8,20.47,3115.98,2
343,95.58,198.27,53.25,30.68,74.62,19.12,3319.14,5
344,103.24,196.47,46.68,30.9,102.13,23.87,2915.75,1
345,98.9,201.74,45.68,26.24,67.25,19.39,3319.61,0
346,100.09,186.56,42.48,26.27,84.8,22.43,3127.22,2
347,98.32,196.88,47.93,32.08,107.54,19.55,2869.39,5
348,98.26,206.69,50.27,34.02,62.73,15.68,3069.34,0
349,104.61,195.38,47.3,31.18,58.57,20.71,3175.53,5
350,88.24,181.41,53.36,28.02,74.66,20.18,3009.21,0
351,110.1,213.31,55.23,29.66,84.89,22.42,2667.93,5
352,109.2,215.2,47.47,27.94,66.52,21.28,2767.78,3
353,98.05,193.35,60.1,34.78,90.97,20.33,3161.37,0
354,108.05,213.47,52.71,32.33,62.33,19.17,2811.43,4
355,92.99,196.05,50.22,27.84,126.91,22.32,2945.6,2
356,94.63,204.96,45.09,27.95,98.61,19.14,3057.83,0
357,101.56,186.03,53.9,28.32,83.48,17.13,3032.53,0
358,98.1,201.57,50.1,30.12,61.97,23.0,2906.42,4
359,95.51,183.06,42.55,31.98,91.53,24.04,3143.99,1
360,93.28,217.32,43.9,32.87,107.76,20.33,2840.48,3
361,94.43,203.44,50.07,29.68,70.52,19.35,2537.7,1
362,109.39,183.91,54.49,29.51,66.9,18.66,3195.02,2
363,80.57,185.6,42.9,29.89,71.8,23.58,2931.88,1
364,103.52,217.64,54.59,25.58,89.67,20.67,3162.3,4
365,97.64,194.02,49.77,28.84,78.47,19.19,2593.23,2
366,107.28,212.28,45.1,24.4,73.16,20.27,2976.1,2
367,105.15,218.03,47.9,32.2,147.29,19.81,2822.74,2
368,72.17,205.47,47.99,27.39,108.19,23.81,2574.32,2
369,105.85,200.45,47.09,26.74,126.21,20.03,2940.98,4
370,103.24,219.26,54.13,28.01,79.47,17.66,2830.74,4
371,100.22,219.39,54.44,32.88,93.85,18.59,2929.05,3
372,95.31,204.1,54.13,30.56,55.82,20.05,2992.89,1
373,108.53,185.25,45.67,24.87,88.54,20.94,2978.34,5
374,95.87,193.44,49.84,26.5,66.6,20.74,3027.95,2
375,118.35,216.06,43.35,29.3,70.52,18.82,3109.05,3
376,105.64,208.4,48.36,30.67,107.09,17.5,3123.14,1
377,121.38,183.01,43.33,29.36,148.58,19.05,3345.18,0
378,92.14,194.58,55.08,28.06,102.62,24.13,2974.07,5
379,82.44,186.93,46.74,28.9,104.98,21.66,2690.48,4
380,107.15,183.11,50.72,32.42,78.41,20.03,2990.71,5
381,108.53,200.27,53.78,29.43,76.5,21.78,2745.37,4
382,100.35,211.1,52.36,27.42,109.33,19.28,2779.99,0
383,84.61,185.54,46.67,27.98,119.64,19.56,3119.8,0
384,95.52,185.89,49.16,32.17,119.62,19.9,3263.07,3
385,106.18,216.65,57.15,38.92,88.88,17.44,3151.78,4
386,98.16,214.9,48.61,32.36,105.02,20.3,2949.86,3
387,98.84,217.55,39.2,29.19,51.45,16.61,2921.78,4
388,98.25,203.69,50.69,25.18,51.69,20.73,3140.61,1
389,90.66,183.06,54.57,34.32,110.73,21.38,3159.94,1
390,94.67,218.56,53.02,32.58,65.69,20.59,2769.73,5
391,85.73,195.58,48.32,32.95,104.54,21.42,3221.51,4
392,117.68,198.88,57.32,27.3,80.73,18.95,2893.66,1
393,95.25,211.23,48.59,29.33,113.87,19.04,3117.62,2
394,104.78,201.07,53.62,29.07,99.56,23.89,2773.54,1
395,89.78,187.1,49.28,35.42,126.39,19.12,3423.63,0
396,107.95,198.78,50.08,31.65,129.69,17.58,3255.01,4
397,81.27,190.32,56.54,28.6,118.77,22.05,2687.61,0
398,109.21,193.93,46.67,35.22,105.21,14.99,2888.01,2
399,99.65,217.94,40.44,32.24,112.72,18.39,3045.4,4
400,121.11,191.84,49.32,27.35,75.43,19.04,3255.72,2
401,86.93,211.43,53.3,27.1,136.21,17.98,2889.25,4
402,100.76,202.54,50.84,31.79,60.63,19.01,3064.6,4
403,103.67,197.89,48.55,29.88,141.18,22.19,3267.05,5
404,112.33,205.18,47.36,27.78,133.59,18.71,3072.87,0
405,95.77,189.82,55.74,24.85,126.21,18.95,2998.17,4
406,100.86,207.63,54.92,30.17,68.69,22.13,3139.29,4
407,78.58,210.82,55.89,30.29,142.57,22.57,3073.71,1
408,91.7,194.51,55.15,27.81,85.15,16.93,2918.2,3
409,104.52,198.86,48.31,27.41,67.6,17.72,2990.96,3
410,111.04,205.21,41.68,27.49,121.57,16.61,3354.84,3
411,97.18,216.05,43.21,28.01,141.89,17.5,3037.6,5
412,120.56,190.59,55.55,28.77,147.34,21.4,2973.6,3
413,117.6,217.03,51.27,29.5,73.09,21.09,3104.4,2
414,99.39,208.05,54.51,23.25,52.39,18.46,2817.61,2
415,75.86,181.72,48.33,33.8,57.06,19.11,3016.39,4
416,82.22,213.28,57.31,23.76,130.85,21.21,2794.42,2
417,92.22,196.65,54.71,31.44,60.62,22.2,2625.04,2
418,111.16,186.17,46.97,30.96,69.13,19.18,2871.88,4
419,103.1,193.45,50.26,28.22,146.36,17.93,3349.89,5
